projectName, makespan, duration;
j6014_5,60,0.1896519660949707;
j6040_2,82,0.2735178470611572;
j6026_9,70,0.25560426712036133;
j6043_5,66,0.26496005058288574;
j601_7,68,0.27999305725097656;
j6039_4,95,0.34345507621765137;
j6018_1,87,0.3048858642578125;
j6017_2,80,0.2769482135772705;
j6036_7,73,0.26904296875;
j6030_9,104,0.34107184410095215;
j607_9,46,0.1658611297607422;
j6020_7,77,0.2569000720977783;
j6046_10,87,0.3100581169128418;
j6027_10,60,0.22495794296264648;
j6022_1,67,0.22521305084228516;
j6021_6,82,0.326138973236084;
j6031_8,77,0.23272013664245605;
j606_8,78,0.24568510055541992;
j6037_6,90,0.40708303451538086;
j6016_3,54,0.19559335708618164;
j6038_5,109,0.374849796295166;
j6042_4,102,0.4140808582305908;
j6027_8,94,0.2883791923522949;
j6041_3,79,0.39855098724365234;
j6034_1,75,0.2647130489349365;
j6015_4,76,0.2049720287322998;
j603_1,62,0.18734312057495117;
j6043_1,110,0.3854959011077881;
j6017_6,75,0.29981327056884766;
j6036_3,82,0.28366589546203613;
j6018_5,84,0.2574882507324219;
j601_3,74,0.2468879222869873;
j602_4,79,0.23586606979370117;
j6014_1,62,0.19140195846557617;
j6035_4,75,0.27309584617614746;
j6018_10,98,0.28197717666625977;
j6040_6,71,0.28952598571777344;
j6023_4,86,0.2639141082763672;
j6046_8,78,0.2928340435028076;
j6025_10,93,0.3453240394592285;
j6011_8,70,0.21845102310180664;
j6020_3,70,0.23382806777954102;
j6021_2,113,0.4145479202270508;
j6044_10,66,0.2583000659942627;
j6010_9,76,0.22213506698608398;
j6047_9,78,0.2868368625640869;
j6022_5,79,0.253309965133667;
j6041_7,114,0.5417988300323486;
j603_5,84,0.2296750545501709;
j6034_5,82,0.2951698303222656;
j6019_4,68,0.25081491470336914;
j609_10,77,0.30702829360961914;
j6038_1,80,0.2951240539550781;
j6037_2,84,0.3682389259338379;
j6016_7,84,0.20649433135986328;
j6039_1,82,0.2941780090332031;
j6018_4,72,0.2414112091064453;
j6017_7,95,0.2785370349884033;
j6036_2,76,0.27283787727355957;
j601_2,76,0.20176386833190918;
j602_5,54,0.18330025672912598;
j6035_5,81,0.25275278091430664;
j6040_7,69,0.2683408260345459;
j6040_10,75,0.2481389045715332;
j6038_10,67,0.26257824897766113;
j6046_9,70,0.2740030288696289;
j6023_5,74,0.24672985076904297;
j6011_9,64,0.2254788875579834;
j6020_2,79,0.26598119735717773;
j6021_3,85,0.36572909355163574;
j6010_8,71,0.22626090049743652;
j6022_4,77,0.27111387252807617;
j6047_8,76,0.2837209701538086;
j6041_6,112,0.48088908195495605;
j603_4,86,0.23442506790161133;
j6034_4,84,0.29377102851867676;
j6015_1,87,0.2353367805480957;
j6037_3,118,0.5635778903961182;
j6016_6,67,0.20985913276672363;
j6019_5,75,0.22787094116210938;
j6021_10,71,0.2965271472930908;
j6042_1,86,0.2938039302825928;
j6014_4,68,0.20017409324645996;
j6035_1,80,0.25199389457702637;
j602_1,69,0.22383737564086914;
j6040_3,71,0.27100610733032227;
j6043_4,79,0.2843813896179199;
j6026_8,92,0.3149900436401367;
j601_6,58,0.21889090538024902;
j6023_10,69,0.2480299472808838;
j6017_3,92,0.3132901191711426;
j6036_6,78,0.2940700054168701;
j6039_5,76,0.2664530277252197;
j6030_8,67,0.23980069160461426;
j607_8,67,0.20734596252441406;
j6020_6,98,0.33138585090637207;
j6023_1,76,0.22789406776428223;
j6021_7,97,0.434279203414917;
j6031_9,88,0.27630090713500977;
j606_9,66,0.23010683059692383;
j6019_1,67,0.23459887504577637;
j6038_4,62,0.26270389556884766;
j6037_7,96,0.45964908599853516;
j6016_2,65,0.1886768341064453;
j6027_9,78,0.25930118560791016;
j6042_5,75,0.31512975692749023;
j6041_2,100,0.4093289375305176;
j6042_10,91,0.34105587005615234;
j6015_5,72,0.20430803298950195;
j6045_1,84,0.3865628242492676;
j6011_6,71,0.1953892707824707;
j6030_3,86,0.2849719524383545;
j607_3,64,0.20281410217285156;
j604_4,67,0.19999289512634277;
j6012_1,60,0.19100379943847656;
j6033_4,82,0.31262683868408203;
j6046_6,94,0.3459160327911377;
