projectName, makespan, duration;
j903_8,87,0.549605131149292;
j9038_8,95,0.7476558685302734;
j9027_5,102,0.7662472724914551;
j9042_9,88,0.6634719371795654;
j9036_10,110,0.7772722244262695;
j9028_6,103,0.63515305519104;
j9024_2,94,0.5217928886413574;
j9015_9,84,0.5120623111724854;
j909_2,114,0.76273512840271;
j906_1,85,0.4747629165649414;
j9032_2,79,0.5172460079193115;
j9013_7,106,0.6729452610015869;
j9048_3,87,0.6500351428985596;
j9044_7,94,0.6715810298919678;
j9031_5,80,0.5301687717437744;
j905_6,88,0.5373129844665527;
j9011_1,87,0.4880411624908447;
j9030_4,105,0.6796391010284424;
j904_7,81,0.4562649726867676;
j9045_6,142,1.215296983718872;
j9046_1,109,0.744473934173584;
j908_3,71,0.4902529716491699;
j9012_6,82,0.47554588317871094;
j9033_3,118,0.8772337436676025;
j9014_8,82,0.47956204414367676;
j9012_10,87,0.461284875869751;
j9025_3,100,0.8080282211303711;
j9029_7,123,1.0175402164459229;
j9043_8,102,0.7265987396240234;
j9026_4,105,0.626924991607666;
j904_10,69,0.4328017234802246;
j902_9,84,0.4634108543395996;
j9039_9,80,0.6444928646087646;
j9024_6,80,0.5781970024108887;
j9010_10,78,0.4766876697540283;
j9034_8,84,0.6236453056335449;
j9019_9,122,0.7116811275482178;
j906_10,99,0.5627667903900146;
j9028_2,77,0.607421875;
j9027_1,99,0.5712099075317383;
j9044_3,112,0.7548160552978516;
j905_2,113,0.6625967025756836;
j9031_1,81,0.5939691066741943;
j9010_4,95,0.5767161846160889;
j9032_6,87,0.5828490257263184;
j9013_3,96,0.6777269840240479;
j906_5,74,0.4875349998474121;
j909_6,109,0.6800158023834229;
j9048_7,104,0.7528460025787354;
j9022_8,99,0.6885631084442139;
j9047_4,95,0.6594128608703613;
j9046_5,95,0.6811189651489258;
j9023_9,128,0.779254674911499;
j9012_2,72,0.5018141269683838;
j9033_7,109,0.7484967708587646;
j908_7,78,0.45958685874938965;
j907_4,87,0.5033919811248779;
j904_3,68,0.43558382987976074;
j9011_5,83,0.5166618824005127;
j9045_2,112,1.0056140422821045;
j9034_10,102,0.6576700210571289;
j9029_3,113,0.8729548454284668;
j9018_8,96,0.6075358390808105;
j9035_9,77,0.6469597816467285;
j9025_7,102,0.8817238807678223;
j9024_7,88,0.5903699398040771;
j9048_10,94,0.63478684425354;
j9034_9,115,0.7514729499816895;
j9019_8,92,0.6158618927001953;
j9028_3,88,0.5560989379882812;
j9044_2,93,0.6129782199859619;
j905_3,83,0.5732088088989258;
j9010_5,79,0.5301840305328369;
j9032_7,88,0.5548648834228516;
j9013_2,98,0.6729099750518799;
j909_7,89,0.6162638664245605;
j906_4,85,0.5478160381317139;
j9047_5,95,0.6325156688690186;
j9022_9,107,0.6453659534454346;
j9030_10,94,0.5710959434509277;
j9048_6,116,0.7137620449066162;
j902_10,83,0.48859190940856934;
j9023_8,93,0.6315000057220459;
j9046_4,97,0.7047350406646729;
j9012_3,94,0.49700093269348145;
j9033_6,89,0.7554688453674316;
j907_5,80,0.5094830989837646;
j908_6,71,0.4636189937591553;
j904_2,90,0.49565696716308594;
j9014_10,87,0.5155050754547119;
j9011_4,69,0.4174060821533203;
