projectName, makespan, duration;
j3021_1,61,0.05537891387939453;
j304_9,39,0.04116511344909668;
j3032_8,55,0.05675697326660156;
j3048_9,60,0.06787586212158203;
j3022_6,46,0.054033756256103516;
j3024_8,39,0.04389524459838867;
j3041_4,48,0.0710451602935791;
j3034_6,52,0.0668339729309082;
j3015_3,49,0.05294179916381836;
j302_7,49,0.0542299747467041;
j307_10,52,0.04510998725891113;
j3010_10,38,0.04342293739318848;
j3019_7,55,0.05875515937805176;
j3038_2,51,0.07977700233459473;
j3037_1,47,0.05906510353088379;
j3016_4,48,0.058730125427246094;
j3042_3,55,0.06510376930236816;
j3043_2,45,0.06503105163574219;
j3017_5,37,0.07749295234680176;
j3039_3,54,0.10320401191711426;
j3018_6,57,0.07961106300354004;
j3014_2,45,0.04228472709655762;
j3035_7,66,0.0742189884185791;
j303_6,55,0.055939674377441406;
j3040_5,67,0.07414770126342773;
j3034_10,50,0.0531308650970459;
j3025_9,51,0.053549766540527344;
j3023_7,60,0.07172918319702148;
j305_8,55,0.05236983299255371;
j3033_9,66,0.08687305450439453;
j3013_9,52,0.05093812942504883;
j3022_2,43,0.051490068435668945;
j3021_5,46,0.05743908882141113;
j3044_9,65,0.07263493537902832;
j308_9,40,0.042412757873535156;
j3037_5,60,0.06156611442565918;
j3019_3,84,0.0814809799194336;
j3038_6,64,0.07601594924926758;
j301_4,57,0.05147695541381836;
j3042_7,66,0.07366204261779785;
j3028_8,54,0.06448006629943848;
j3036_10,61,0.06542420387268066;
j302_3,45,0.04877901077270508;
j3034_2,44,0.0524289608001709;
j3015_7,48,0.04878807067871094;
j303_2,41,0.04621481895446777;
j3014_6,35,0.04540586471557617;
j3035_3,61,0.0815269947052002;
j3040_1,52,0.0634310245513916;
j3029_9,53,0.05936384201049805;
j3043_6,57,0.06613993644714355;
j3039_7,50,0.06409311294555664;
j3018_2,58,0.0642099380493164;
j3017_1,47,0.0581049919128418;
j3036_4,60,0.07242512702941895;
j305_10,59,0.053527116775512695;
j3012_10,58,0.056262969970703125;
j309_8,58,0.06240105628967285;
j3045_8,66,0.08159208297729492;
j3020_4,44,0.0512850284576416;
j3023_3,47,0.05378293991088867;
j3012_8,36,0.046958208084106445;
j3013_8,49,0.04542803764343262;
j301_10,48,0.05544567108154297;
j3016_10,52,0.05577588081359863;
j3022_3,62,0.06245017051696777;
j3044_8,50,0.06244802474975586;
j3021_4,53,0.06184506416320801;
j308_8,52,0.05750298500061035;
j3019_2,59,0.06303596496582031;
j3038_7,64,0.0813608169555664;
j3037_4,63,0.07414102554321289;
j3016_1,52,0.05060005187988281;
j301_5,35,0.04113507270812988;
j3028_9,63,0.0664370059967041;
j3042_6,59,0.06990599632263184;
j3041_1,51,0.06202197074890137;
j302_2,47,0.04648876190185547;
j3034_3,66,0.08318424224853516;
j3015_6,68,0.05990409851074219;
j303_3,59,0.060295820236206055;
j3014_7,48,0.05007481575012207;
j3035_2,54,0.06875920295715332;
j3043_7,53,0.06700897216796875;
j3029_8,51,0.060639142990112305;
j3036_5,66,0.07786083221435547;
j3039_6,62,0.0751190185546875;
j3018_3,56,0.05615377426147461;
j309_9,38,0.04462885856628418;
j3020_5,64,0.0750880241394043;
j3032_10,52,0.057035207748413086;
j3045_9,51,0.06484603881835938;
j3023_2,54,0.06667280197143555;
j3012_9,53,0.047777652740478516;
j3030_10,44,0.0466310977935791;
j304_8,56,0.05565690994262695;
j3032_9,66,0.07053995132446289;
j3022_7,58,0.0648488998413086;
j3048_8,45,0.05356001853942871;
j3041_5,64,0.06555628776550293;
j3024_9,44,0.0442349910736084;
j3034_7,55,0.0671229362487793;
j3015_2,48,0.047775983810424805;
j302_6,50,0.04965400695800781;
j301_1,42,0.04854989051818848;
j3016_5,52,0.05179166793823242;
j3019_6,51,0.056685686111450195;
j3038_3,54,0.06748270988464355;
j3042_2,48,0.062081098556518555;
j3048_10,55,0.06320595741271973;
j3043_3,56,0.06258893013000488;
j3039_2,55,0.07159090042114258;
j3018_7,52,0.05912184715270996;
j3017_4,54,0.0624079704284668;
j3036_1,67,0.08244132995605469;
j3014_3,59,0.050189971923828125;
j3029_10,52,0.05573916435241699;
j3035_6,58,0.07323479652404785;
j303_7,52,0.05724596977233887;
j3025_8,39,0.052306175231933594;
j3040_4,58,0.066986083984375;
j3023_6,48,0.054480791091918945;
j303_10,59,0.05918574333190918;
j305_9,39,0.04528474807739258;
j3014_10,59,0.052763938903808594;
j3033_8,59,0.07576608657836914;
j3020_1,58,0.0604400634765625;
j3037_10,61,0.07832908630371094;
j3015_9,55,0.05338001251220703;
j3024_2,59,0.06847214698791504;
j3028_6,56,0.06176924705505371;
j3042_9,63,0.08047699928283691;
j3027_5,50,0.053813934326171875;
j3038_8,58,0.06421995162963867;
j3031_5,49,0.055335283279418945;
j308_7,42,0.044172048568725586;
j307_4,45,0.045185089111328125;
j3044_7,43,0.05153918266296387;
j3048_3,51,0.06295108795166016;
j304_3,48,0.04398488998413086;
j3032_2,61,0.06029701232910156;
j3013_7,51,0.0565638542175293;
j305_2,61,0.056456804275512695;
j3012_6,55,0.05072426795959473;
j3033_3,43,0.06534194946289062;
j3046_1,59,0.07526016235351562;
j3045_6,71,0.08138084411621094;
j3011_1,55,0.05793595314025879;
j3030_4,51,0.05960512161254883;
j306_5,59,0.06106710433959961;
j309_6,48,0.04878997802734375;
j3039_9,59,0.07031989097595215;
j3026_4,63,0.07037591934204102;
j3043_8,63,0.07399487495422363;
j3029_7,42,0.055619001388549805;
j3013_10,53,0.062489986419677734;
j304_10,49,0.04785895347595215;
j3025_3,45,0.05913805961608887;
j3014_8,55,0.053946733474731445;
j3011_10,39,0.041635990142822266;
j306_10,59,0.05680203437805176;
j3027_1,44,0.048377037048339844;
j3028_2,58,0.06328797340393066;
j3019_9,40,0.04742288589477539;
j302_9,52,0.059108734130859375;
j3034_8,63,0.07502889633178711;
j3024_6,57,0.06341814994812012;
j3047_4,49,0.060363054275512695;
j3022_8,51,0.06299805641174316;
j3048_7,56,0.06654000282287598;
j3032_6,45,0.05070900917053223;
j3013_3,46,0.043005943298339844;
j304_7,57,0.05013298988342285;
j308_3,54,0.052271127700805664;
j3031_1,44,0.05713295936584473;
j3010_4,54,0.04818892478942871;
j3044_3,52,0.06535506248474121;
j3045_2,64,0.08567190170288086;
j309_2,46,0.04700183868408203;
j306_1,55,0.04704689979553223;
j3011_5,49,0.04936790466308594;
j3012_2,47,0.04516196250915527;
j3033_7,59,0.08619999885559082;
j305_6,55,0.07012701034545898;
j3023_9,60,0.06879091262817383;
j3046_5,57,0.06534910202026367;
j3025_7,60,0.06341314315795898;
j303_8,56,0.061183929443359375;
j3035_10,57,0.06819009780883789;
j3035_9,59,0.06555294990539551;
j3018_8,50,0.05831098556518555;
j3029_3,46,0.05498313903808594;
j3028_3,41,0.05186295509338379;
j3019_8,56,0.06518816947937012;
j302_8,59,0.057031869888305664;
j3034_9,64,0.07158780097961426;
j3024_7,45,0.04973101615905762;
j3048_6,59,0.0755312442779541;
j3022_9,73,0.07304906845092773;
j3047_5,45,0.06590509414672852;
j3032_7,36,0.05239415168762207;
j3013_2,33,0.040344953536987305;
j304_6,46,0.04684185981750488;
j308_2,52,0.05013012886047363;
j307_1,56,0.05193305015563965;
j3031_10,50,0.05457496643066406;
j3010_5,42,0.04911994934082031;
j3044_2,55,0.05793428421020508;
j3045_3,58,0.06964802742004395;
j309_3,50,0.05339980125427246;
j3011_4,61,0.04810285568237305;
j3030_1,41,0.0507659912109375;
j3012_3,38,0.04657483100891113;
j3033_6,56,0.06537699699401855;
j305_7,44,0.0486149787902832;
j3015_10,66,0.058708906173706055;
j302_10,43,0.051905155181884766;
j3046_4,61,0.07395482063293457;
j3023_8,49,0.05434083938598633;
j3025_6,43,0.0585179328918457;
j3028_10,60,0.06523418426513672;
j303_9,61,0.06944108009338379;
j3035_8,64,0.08048701286315918;
j3018_9,50,0.05781984329223633;
j3026_1,61,0.07572102546691895;
j3029_2,56,0.05712103843688965;
j3015_8,47,0.04456925392150879;
j3024_3,70,0.06444692611694336;
j3027_4,65,0.06607794761657715;
j3042_8,68,0.07815289497375488;
j3028_7,49,0.056081295013427734;
j3038_9,58,0.0757439136505127;
j3031_4,51,0.055828094482421875;
j3010_1,42,0.0429990291595459;
j307_5,42,0.04419279098510742;
j308_6,49,0.047955989837646484;
j3044_6,59,0.0658869743347168;
j3047_1,59,0.06461000442504883;
j3048_2,55,0.06808018684387207;
j3017_10,72,0.0709381103515625;
j304_2,61,0.056247711181640625;
j3032_3,58,0.059654951095581055;
j3013_6,45,0.04445290565490723;
j305_3,61,0.06648015975952148;
j3012_7,56,0.05379796028137207;
j3033_2,58,0.08024382591247559;
j3045_7,73,0.07631826400756836;
j3033_10,50,0.07003092765808105;
j3030_5,53,0.05867314338684082;
j309_7,42,0.042997121810913086;
j306_4,40,0.0399320125579834;
j3039_8,68,0.07899808883666992;
j3029_6,44,0.04502701759338379;
j3043_9,57,0.06648087501525879;
j3026_5,66,0.06602787971496582;
j3025_2,44,0.059494972229003906;
j3014_9,45,0.05344271659851074;
j3047_10,58,0.06782007217407227;
j3016_8,45,0.05073881149291992;
j3027_3,62,0.06832385063171387;
j3024_4,55,0.06315326690673828;
j3041_8,56,0.06506705284118652;
j304_5,60,0.05534791946411133;
j3032_4,69,0.06635499000549316;
j3013_1,35,0.045044898986816406;
j3048_5,59,0.06580281257629395;
j3047_6,51,0.061914920806884766;
j3044_1,51,0.05677485466003418;
