problemType, makespan, GRASP, diff
j3015_10, 65, 76, 11
j302_10, 43, 48, 5
j3046_4, 64, 72, 8
j3023_8, 48, 50, 2
j3025_6, 58, 64, 6
j3028_10, 59, 60, 1
j303_9, 65, 66, 1
j3035_8, 63, 64, 1
j3018_9, 47, 51, 4
j3026_1, 59, 66, 7
j3029_2, 90, 92, 2
j3015_8, 50, 53, 3
j3024_3, 69, 70, 1
j3027_4, 64, 67, 3
j3042_8, 82, 84, 2
j3028_7, 48, 49, 1
j3038_9, 63, 58, -5
j3031_4, 50, 51, 1
j3010_1, 42, 44, 2
j307_5, 44, 44, 0
j308_6, 47, 48, 1
j3044_6, 56, 57, 1
j3047_1, 58, 66, 8
j3048_2, 54, 55, 1
j3017_10, 66, 67, 1
j304_2, 60, 61, 1
j3032_3, 57, 58, 1
j3013_6, 64, 74, 10
j305_3, 76, 78, 2
j3012_7, 55, 56, 1
j3033_2, 60, 76, 16
j3045_7, 101, 118, 17
j3033_10, 53, 54, 1
j3030_5, 54, 61, 7
j309_7, 63, 66, 3
j306_4, 42, 44, 2
j3039_8, 67, 71, 4
j3029_6, 92, 92, 0
j3043_9, 57, 59, 2
j3026_5, 74, 77, 3
j3025_2, 75, 77, 2
j3014_9, 46, 49, 3
j3047_10, 60, 62, 2
j3016_8, 44, 45, 1
j3027_3, 60, 61, 1
j3024_4, 53, 54, 1
j3041_8, 88, 86, -2
j304_5, 59, 60, 1
j3032_4, 68, 69, 1
j3013_1, 58, 58, 0
j3048_5, 58, 59, 1
j3047_6, 53, 58, 5
j3044_1, 50, 51, 1
j3031_3, 58, 61, 3
j3010_6, 44, 45, 1
j308_1, 44, 45, 1
j307_2, 42, 43, 1
j3011_7, 36, 36, 0
j3030_2, 68, 75, 7
j306_3, 48, 48, 0
j3046_7, 59, 63, 4
j305_4, 63, 67, 4
j3033_5, 53, 61, 8
j3026_10, 49, 54, 5
j3040_9, 64, 65, 1
j3025_5, 72, 79, 7
j3026_2, 40, 41, 1
j3029_1, 85, 96, 11
j3017_9, 48, 49, 1
j3024_10, 53, 54, 1
j3037_9, 57, 62, 5
j301_8, 53, 58, 5
j3027_7, 49, 49, 0
j3028_4, 49, 50, 1
j3021_9, 69, 69, 0
j3044_5, 55, 56, 1
j307_6, 35, 36, 1
j308_5, 58, 59, 1
j3031_7, 61, 62, 1
j3010_2, 56, 59, 3
j3013_5, 67, 70, 3
j304_1, 49, 50, 1
j3047_2, 59, 64, 5
j3019_10, 47, 48, 1
j3048_1, 63, 64, 1
j3046_3, 65, 75, 10
j3012_4, 63, 64, 1
j3033_1, 65, 67, 2
j309_4, 71, 87, 16
j306_7, 46, 50, 4
j3011_3, 81, 82, 1
j3030_6, 62, 61, -1
j3045_4, 84, 90, 6
j3020_8, 51, 52, 1
j3029_5, 98, 115, 17
j3026_6, 53, 63, 10
j3045_10, 90, 92, 2
j3036_8, 63, 64, 1
j3025_1, 93, 108, 15
j3024_1, 53, 54, 1
j3039_10, 60, 61, 1
j3037_8, 72, 75, 3
j301_9, 49, 51, 2
j3028_5, 73, 74, 1
j3027_6, 59, 66, 7
j3044_4, 57, 58, 1
j3021_8, 62, 60, -2
j308_4, 48, 49, 1
j307_7, 50, 51, 1
j3031_6, 53, 55, 2
j3010_3, 62, 66, 4
j3041_10, 99, 97, -2
j3032_1, 61, 62, 1
j3013_4, 72, 80, 8
j3047_3, 55, 56, 1
j3046_2, 67, 70, 3
j3012_5, 47, 48, 1
j305_1, 53, 50, -3
j306_6, 37, 38, 1
j309_5, 70, 70, 0
j3011_2, 56, 57, 1
j3030_7, 68, 69, 1
j3020_9, 41, 42, 1
j3045_5, 86, 88, 2
j3020_10, 37, 38, 1
j3026_7, 56, 66, 10
j3029_4, 103, 107, 4
j3036_9, 59, 60, 1
j3016_9, 44, 45, 1
j3027_2, 58, 60, 2
j3028_1, 69, 70, 1
j308_10, 67, 68, 1
j3041_9, 92, 117, 25
j3024_5, 51, 52, 1
j304_4, 57, 58, 1
j3032_5, 54, 55, 1
j3047_7, 66, 69, 3
j3048_4, 57, 58, 1
j3022_10, 55, 58, 3
j3031_2, 63, 64, 1
j3010_7, 49, 50, 1
j307_3, 42, 43, 1
j3011_6, 44, 45, 1
j3030_3, 55, 71, 16
j309_1, 83, 89, 6
j306_2, 51, 59, 8
j3045_1, 82, 89, 7
j3046_6, 59, 60, 1
j305_5, 76, 71, -5
j3043_10, 60, 66, 6
j3012_1, 47, 48, 1
j3033_4, 77, 83, 6
j3025_4, 81, 83, 2
j3040_8, 57, 58, 1
j3026_3, 58, 60, 2
j3017_8, 61, 62, 1
j3018_10, 49, 42, -7
j3031_9, 50, 55, 5
j307_8, 44, 44, 0
j3021_7, 65, 71, 6
j3042_5, 52, 57, 5
j3027_9, 55, 57, 2
j301_6, 48, 47, -1
j3019_1, 40, 41, 1
j3038_4, 59, 62, 3
j3037_7, 92, 99, 7
j3016_2, 48, 49, 1
j3015_5, 58, 62, 4
j3025_10, 58, 59, 1
j302_1, 38, 37, -1
j3041_2, 89, 94, 5
j3040_3, 57, 58, 1
j3014_4, 50, 56, 6
j3035_1, 57, 58, 1
j3017_3, 60, 65, 5
j3036_6, 46, 47, 1
j3039_5, 55, 56, 1
j3026_8, 66, 68, 2
j3043_4, 67, 74, 7
j3044_10, 63, 64, 1
j3020_6, 51, 52, 1
j3030_8, 46, 46, 0
j306_9, 51, 49, -2
j3023_1, 63, 67, 4
j3010_8, 54, 54, 0
j3021_3, 76, 82, 6
j3047_8, 48, 49, 1
j3022_4, 42, 43, 1
j302_5, 51, 52, 1
j3034_4, 67, 69, 2
j3015_1, 46, 47, 1
j3041_6, 103, 114, 11
j3042_1, 58, 59, 1
j3046_10, 55, 58, 3
j3037_3, 81, 86, 5
j3016_6, 51, 52, 1
j3019_5, 48, 49, 1
j301_2, 47, 54, 7
j3039_1, 55, 62, 7
j3018_4, 70, 71, 1
j3017_7, 57, 51, -6
j3036_2, 44, 45, 1
j3040_7, 46, 47, 1
j3027_10, 62, 66, 4
j303_4, 98, 104, 6
j3035_5, 60, 61, 1
j3023_5, 52, 60, 8
j3046_9, 49, 50, 1
j3020_2, 70, 71, 1
j3011_9, 67, 68, 1
j3023_10, 61, 62, 1
j3010_9, 49, 53, 4
j3021_2, 59, 64, 5
j3022_5, 52, 62, 10
j3047_9, 65, 69, 4
j302_4, 43, 44, 1
j3034_5, 63, 64, 1
j3041_7, 92, 78, -14
j3019_4, 39, 43, 4
j309_10, 88, 96, 8
j3038_1, 48, 48, 0
j3037_2, 69, 73, 4
j3016_7, 34, 35, 1
j301_3, 47, 48, 1
j3017_6, 63, 73, 10
j3036_3, 61, 62, 1
j3018_5, 52, 51, -1
j3043_1, 55, 57, 2
j3040_6, 60, 61, 1
j303_5, 53, 49, -4
j3014_1, 50, 48, -2
j3035_4, 50, 54, 4
j3046_8, 58, 61, 3
j3023_4, 65, 68, 3
j3042_10, 75, 77, 2
j3020_3, 49, 50, 1
j3011_8, 62, 71, 9
j3022_1, 42, 45, 3
j3040_10, 51, 52, 1
j3031_8, 58, 66, 8
j307_9, 60, 61, 1
j3021_6, 76, 79, 3
j3027_8, 66, 68, 2
j3042_4, 49, 58, 9
j301_7, 60, 65, 5
j3037_6, 73, 77, 4
j3016_3, 36, 37, 1
j3038_5, 71, 73, 2
j3034_1, 68, 69, 1
j3015_4, 48, 49, 1
j3038_10, 60, 63, 3
j3041_3, 85, 100, 15
j3040_2, 56, 57, 1
j3014_5, 52, 60, 8
j303_1, 72, 74, 2
j3039_4, 53, 54, 1
j3018_1, 53, 56, 3
j3017_2, 68, 69, 1
j3036_7, 56, 57, 1
j3043_5, 64, 70, 6
j3026_9, 43, 48, 5
j3020_7, 42, 43, 1
j3030_9, 46, 50, 4
j3021_10, 69, 69, 0
j306_8, 39, 42, 3
