problemType, makespan, GRASP, diff
j3045_6, 1.62, 1.85, 0.22999999999999998
j3011_1, 0.07, 0.79, 0.72
j3030_4, 0.57, 0.95, 0.38
j306_5, 0.1, 0.97, 0.87
j309_6, 29.45, 0.86, -28.59
j3039_9, 0.01, 0.91, 0.9
j3026_4, 0.05, 1.2, 1.15
j3043_8, 0.02, 1.06, 1.04
j3029_7, 16.69, 1.08, -15.610000000000001
j3013_10, 987.83, 0.83, -987.0
j304_10, 0.01, 0.52, 0.51
j3025_3, 115.13, 1.35, -113.78
j3014_8, 0.05, 0.62, 0.57
j3011_10, 0.02, 0.48, 0.45999999999999996
j306_10, 0.57, 0.85, 0.28
j3027_1, 0.02, 0.58, 0.5599999999999999
j3028_2, 0.01, 0.75, 0.74
j3019_9, 0.01, 0.95, 0.94
j302_9, 0.03, 0.84, 0.8099999999999999
j3034_8, 0.01, 0.84, 0.83
j3024_6, 0.01, 0.7, 0.69
j3047_4, 0.03, 0.7, 0.6699999999999999
j3022_8, 2.21, 0.69, -1.52
j3048_7, 0.0, 0.67, 0.67
j3032_6, 0.01, 0.55, 0.54
j3013_3, 178.05, 0.97, -177.08
j304_7, 0.0, 0.8, 0.8
j308_3, 0.01, 0.97, 0.96
j3031_1, 0.02, 0.64, 0.62
j3010_4, 1.57, 0.74, -0.8300000000000001
j3044_3, 0.01, 0.67, 0.66
j3045_2, 0.27, 1.61, 1.34
j309_2, 27.74, 1.12, -26.619999999999997
j306_1, 0.4, 0.63, 0.22999999999999998
j3011_5, 0.08, 0.67, 0.5900000000000001
j3012_2, 0.01, 0.52, 0.51
j3033_7, 0.02, 0.87, 0.85
j305_6, 10.32, 0.96, -9.36
j3023_9, 0.04, 0.78, 0.74
j3046_5, 0.34, 0.81, 0.47000000000000003
j3025_7, 24.34, 1.14, -23.2
j303_8, 0.01, 0.66, 0.65
j3035_10, 0.01, 0.76, 0.75
j3035_9, 0.01, 0.8, 0.79
j3018_8, 0.01, 0.64, 0.63
j3029_3, 40.1, 1.05, -39.050000000000004
j3028_3, 0.01, 0.56, 0.55
j3019_8, 0.01, 0.73, 0.72
j302_8, 0.03, 0.74, 0.71
j3034_9, 0.01, 0.76, 0.75
j3024_7, 0.01, 0.6, 0.59
j3048_6, 0.01, 0.78, 0.77
j3022_9, 0.01, 0.85, 0.84
j3047_5, 0.04, 0.64, 0.6
j3032_7, 0.01, 0.56, 0.55
j3013_2, 1409.73, 0.9, -1408.83
j304_6, 0.01, 0.55, 0.54
j308_2, 0.01, 0.54, 0.53
j307_1, 0.01, 2.8, 2.79
j3031_10, 1.91, 3.23, 1.32
j3010_5, 11.1, 0.83, -10.27
j3044_2, 0.01, 2.59, 2.58
j3045_3, 0.6, 1.52, 0.92
j309_3, 59.56, 0.94, -58.620000000000005
j3011_4, 0.6, 0.74, 0.14
j3030_1, 22.78, 0.69, -22.09
j3012_3, 0.01, 0.47, 0.45999999999999996
j3033_6, 0.02, 0.7, 0.6799999999999999
j305_7, 37.06, 0.91, -36.150000000000006
j3015_10, 0.01, 0.69, 0.6799999999999999
j302_10, 0.04, 0.69, 0.6499999999999999
j3046_4, 0.09, 0.9, 0.81
j3023_8, 0.03, 0.66, 0.63
j3025_6, 24.84, 0.91, -23.93
j3028_10, 0.01, 0.68, 0.67
j303_9, 0.04, 0.84, 0.7999999999999999
j3035_8, 0.01, 0.86, 0.85
j3018_9, 0.01, 0.6, 0.59
j3026_1, 0.12, 0.76, 0.64
j3029_2, 52.26, 1.19, -51.07
j3015_8, 25.41, 0.55, -24.86
j3024_3, 0.0, 0.68, 0.68
j3027_4, 0.01, 0.81, 0.8
j3042_8, 0.12, 0.97, 0.85
j3028_7, 0.01, 0.61, 0.6
j3038_9, 0.02, 0.84, 0.82
j3031_4, 0.02, 0.63, 0.61
j3010_1, 2.51, 0.62, -1.8899999999999997
j307_5, 0.26, 0.58, 0.31999999999999995
j308_6, 0.01, 0.53, 0.52
j3044_6, 0.01, 0.71, 0.7
j3047_1, 0.02, 0.82, 0.7999999999999999
j3048_2, 0.02, 0.72, 0.7
j3017_10, 0.01, 0.8, 0.79
j304_2, 0.01, 0.71, 0.7
j3032_3, 0.02, 0.67, 0.65
j3013_6, 1114.68, 0.8, -1113.88
j305_3, 3.06, 0.84, -2.22
j3012_7, 0.01, 0.56, 0.55
j3033_2, 0.02, 0.84, 0.82
j3045_7, 2.08, 1.27, -0.81
j3033_10, 0.01, 0.68, 0.67
j3030_5, 2.26, 0.68, -1.5799999999999996
j309_7, 144.04, 0.77, -143.26999999999998
j306_4, 2.46, 0.5, -1.96
j3039_8, 0.02, 0.87, 0.85
j3029_6, 48.33, 1.04, -47.29
j3043_9, 0.02, 0.74, 0.72
j3026_5, 0.03, 0.87, 0.84
j3025_2, 3.12, 0.99, -2.13
j3014_9, 50.09, 0.66, -49.43000000000001
j3047_10, 0.39, 0.86, 0.47
j3016_8, 0.01, 0.56, 0.55
j3027_3, 0.02, 0.77, 0.75
j3024_4, 0.01, 0.68, 0.67
j3041_8, 1.6, 1.24, -0.3600000000000001
j304_5, 0.01, 0.58, 0.57
j3032_4, 0.01, 0.64, 0.63
j3013_1, 7208.9, 0.74, -7208.16
j3048_5, 0.01, 0.67, 0.66
j3047_6, 0.22, 0.75, 0.53
j3044_1, 0.01, 0.62, 0.61
j3031_3, 0.02, 0.73, 0.71
j3010_6, 1.52, 0.56, -0.96
j308_1, 0.01, 0.51, 0.5
j307_2, 0.02, 0.9, 0.88
j3011_7, 0.5, 0.52, 0.020000000000000018
j3030_2, 4.44, 0.8, -3.6400000000000006
j306_3, 0.37, 0.7, 0.32999999999999996
j3046_7, 5.89, 0.78, -5.109999999999999
j305_4, 34.63, 0.75, -33.88
j3033_5, 0.02, 0.76, 0.74
j3026_10, 0.4, 0.67, 0.27
j3040_9, 0.01, 0.74, 0.73
j3025_5, 12.96, 1.73, -11.23
j3026_2, 0.01, 2.52, 2.5100000000000002
j3029_1, 209.88, 3.67, -206.21
j3017_9, 0.01, 0.74, 0.73
j3024_10, 0.01, 0.84, 0.83
j3037_9, 0.08, 1.06, 0.9800000000000001
j301_8, 0.03, 0.8, 0.77
j3027_7, 0.06, 0.65, 0.5900000000000001
j3028_4, 0.01, 0.57, 0.5599999999999999
j3021_9, 2.28, 1.08, -1.1999999999999997
j3044_5, 0.01, 1.18, 1.17
j307_6, 0.02, 0.66, 0.64
j308_5, 0.01, 0.79, 0.78
j3031_7, 0.02, 0.73, 0.71
j3010_2, 0.19, 0.69, 0.49999999999999994
j3013_5, 3329.75, 0.93, -3328.82
j304_1, 0.01, 0.74, 0.73
j3047_2, 0.02, 0.83, 0.8099999999999999
j3019_10, 0.02, 0.63, 0.61
j3048_1, 0.01, 0.82, 0.8099999999999999
j3046_3, 0.59, 1.02, 0.43000000000000005
j3012_4, 0.01, 0.65, 0.64
j3033_1, 0.02, 0.86, 0.84
j309_4, 91.77, 1.04, -90.72999999999999
