projectName, makespan, duration;
j903_8,87,0.4865849018096924;
j9038_8,96,0.6554787158966064;
j9027_5,100,0.6457309722900391;
j9042_9,84,0.619586706161499;
j9036_10,110,0.704869270324707;
j9028_6,103,0.5628337860107422;
j9024_2,93,0.4938969612121582;
j9015_9,84,0.4846930503845215;
j909_2,112,0.6825621128082275;
j906_1,86,0.4526832103729248;
j9032_2,79,0.49350881576538086;
j9013_7,100,0.6278212070465088;
j9048_3,87,0.613480806350708;
j9044_7,94,0.597937822341919;
j9031_5,81,0.525299072265625;
j905_6,87,0.5350031852722168;
j9011_1,87,0.4481680393218994;
j9030_4,107,0.6057279109954834;
j904_7,81,0.48235392570495605;
j9045_6,136,1.1242690086364746;
j9046_1,113,0.7045302391052246;
j908_3,71,0.4161951541900635;
j9012_6,82,0.4843447208404541;
j9033_3,115,0.7939980030059814;
j9014_8,82,0.4719350337982178;
j9012_10,87,0.4607710838317871;
j9025_3,101,0.7486069202423096;
j9029_7,122,0.9760258197784424;
j9043_8,102,0.6978440284729004;
j9026_4,106,0.5997979640960693;
j904_10,69,0.40790486335754395;
j902_9,81,0.4550459384918213;
j9039_9,80,0.5958490371704102;
j9024_6,80,0.5334060192108154;
j9010_10,79,0.46804308891296387;
j9034_8,83,0.5796160697937012;
j9019_9,122,0.6618387699127197;
j906_10,96,0.5165200233459473;
j9028_2,77,0.5326502323150635;
j9027_1,97,0.5147509574890137;
j9044_3,111,0.6714439392089844;
j905_2,97,0.5937480926513672;
j9031_1,80,0.5591518878936768;
j9010_4,95,0.5489251613616943;
j9032_6,87,0.5475068092346191;
j9013_3,98,0.6405940055847168;
j906_5,73,0.4400172233581543;
j909_6,109,0.6650052070617676;
j9048_7,104,0.7226288318634033;
j9022_8,98,0.6706819534301758;
j9047_4,94,0.5942800045013428;
j9046_5,95,0.6463441848754883;
j9023_9,127,0.7413160800933838;
j9012_2,72,0.4805328845977783;
j9033_7,109,0.7625348567962646;
j908_7,78,0.44007110595703125;
j907_4,88,0.512017011642456;
j904_3,68,0.43826913833618164;
j9011_5,82,0.4782130718231201;
j9045_2,119,0.9790489673614502;
j9034_10,102,0.653209924697876;
j9029_3,113,0.819148063659668;
j9018_8,93,0.5713100433349609;
j9035_9,77,0.5993869304656982;
j9025_7,107,0.8571128845214844;
j9024_7,88,0.5581581592559814;
j9048_10,94,0.5535149574279785;
j9034_9,111,0.7100212574005127;
j9019_8,92,0.549130916595459;
j9028_3,87,0.5093340873718262;
j9044_2,94,0.5590901374816895;
j905_3,79,0.5527098178863525;
j9010_5,80,0.49578285217285156;
j9032_7,88,0.5356500148773193;
j9013_2,105,0.6565577983856201;
j909_7,96,0.5948019027709961;
j906_4,82,0.4774472713470459;
j9047_5,94,0.6064302921295166;
j9022_9,109,0.6174521446228027;
j9030_10,92,0.5237460136413574;
j9048_6,115,0.722236156463623;
j902_10,83,0.4597971439361572;
j9023_8,93,0.6002349853515625;
j9046_4,96,0.6579170227050781;
j9012_3,94,0.47027134895324707;
j9033_6,88,0.6925601959228516;
j907_5,80,0.4747288227081299;
j908_6,71,0.4596879482269287;
j904_2,90,0.4703218936920166;
j9014_10,88,0.45671606063842773;
j9011_4,65,0.4041781425476074;
j9030_1,104,0.6447110176086426;
j9045_3,132,1.081265926361084;
j9029_2,101,0.7910010814666748;
j9026_1,91,0.5836188793182373;
j9018_9,80,0.529249906539917;
j9029_10,111,0.7451298236846924;
j9035_8,86,0.6130130290985107;
j9025_6,113,0.7600600719451904;
j903_9,62,0.4164249897003174;
j9038_9,101,0.6914830207824707;
j9028_7,98,0.5537667274475098;
j9042_8,107,0.6724448204040527;
j9027_4,80,0.5322811603546143;
j9024_3,70,0.5246169567108154;
j9015_8,84,0.46520304679870605;
j909_3,92,0.5878720283508301;
j9032_3,90,0.5850629806518555;
j9013_6,96,0.6290748119354248;
j9048_2,90,0.618812084197998;
j9047_1,83,0.5795629024505615;
j9044_6,97,0.6126189231872559;
j9031_4,80,0.5192909240722656;
j9010_1,80,0.4930229187011719;
j905_7,99,0.5870108604431152;
j9016_10,72,0.42011284828186035;
j9030_5,88,0.5464780330657959;
j904_6,79,0.4559919834136963;
j9045_7,110,0.9565219879150391;
j9032_10,92,0.5126309394836426;
j908_2,79,0.44631409645080566;
j907_1,89,0.46242189407348633;
j9012_7,78,0.4432337284088135;
j9033_2,114,0.8335328102111816;
