projectName, makespan, duration;
j6014_5,62,0.1868607997894287;
j6040_2,82,0.26346802711486816;
j6026_9,68,0.245344877243042;
j6043_5,65,0.24222707748413086;
j601_7,68,0.22939801216125488;
j6039_4,94,0.3158700466156006;
j6018_1,81,0.271528959274292;
j6017_2,70,0.2553069591522217;
j6036_7,72,0.24902081489562988;
j6030_9,106,0.31388020515441895;
j607_9,47,0.17020916938781738;
j6020_7,76,0.2284998893737793;
j6046_10,86,0.29907679557800293;
j6027_10,58,0.19533324241638184;
j6022_1,68,0.22683000564575195;
j6021_6,78,0.31223297119140625;
j6031_8,78,0.2230510711669922;
j606_8,76,0.22511816024780273;
j6037_6,87,0.3934500217437744;
j6016_3,54,0.17907929420471191;
j6038_5,108,0.35045671463012695;
j6042_4,104,0.3689839839935303;
j6027_8,89,0.2680230140686035;
j6041_3,76,0.3832969665527344;
j6034_1,72,0.2572927474975586;
j6015_4,76,0.20543527603149414;
j603_1,62,0.19102931022644043;
j6043_1,111,0.35481905937194824;
j6017_6,71,0.27580881118774414;
j6036_3,82,0.27400803565979004;
j6018_5,81,0.23645305633544922;
j601_3,74,0.2368931770324707;
j602_4,79,0.22839093208312988;
j6014_1,62,0.1828930377960205;
j6035_4,75,0.26491284370422363;
j6018_10,99,0.27860021591186523;
j6040_6,70,0.26995301246643066;
j6023_4,86,0.2516798973083496;
j6046_8,78,0.287355899810791;
j6025_10,94,0.325319766998291;
j6011_8,70,0.2052171230316162;
j6020_3,70,0.22046279907226562;
j6021_2,114,0.3786740303039551;
j6044_10,66,0.248460054397583;
j6010_9,78,0.2216801643371582;
j6047_9,78,0.2714807987213135;
j6022_5,80,0.2371981143951416;
j6041_7,115,0.5353589057922363;
j603_5,84,0.19681882858276367;
j6034_5,82,0.30260515213012695;
j6019_4,68,0.22576689720153809;
j609_10,79,0.2872922420501709;
j6038_1,78,0.2725200653076172;
j6037_2,85,0.3608100414276123;
j6016_7,83,0.19556498527526855;
j6039_1,83,0.2697639465332031;
j6018_4,72,0.23004889488220215;
j6017_7,91,0.29604196548461914;
j6036_2,76,0.2422630786895752;
j601_2,72,0.19804906845092773;
j602_5,54,0.1890239715576172;
j6035_5,77,0.2459089756011963;
j6040_7,69,0.23827314376831055;
j6040_10,74,0.24069786071777344;
j6038_10,67,0.24024391174316406;
j6046_9,71,0.25084829330444336;
j6023_5,75,0.24214720726013184;
j6011_9,63,0.20711922645568848;
j6020_2,79,0.24645113945007324;
j6021_3,85,0.3264961242675781;
j6010_8,68,0.20877695083618164;
j6022_4,74,0.2704298496246338;
j6047_8,73,0.24308013916015625;
j6041_6,111,0.46590423583984375;
j603_4,83,0.22987079620361328;
j6034_4,84,0.30077600479125977;
j6015_1,85,0.2243807315826416;
j6037_3,114,0.5305771827697754;
j6016_6,67,0.19082212448120117;
j6019_5,77,0.23014211654663086;
j6021_10,73,0.2840759754180908;
j6042_1,86,0.28004980087280273;
j6014_4,68,0.19506001472473145;
j6035_1,80,0.26407790184020996;
j602_1,66,0.19127583503723145;
j6040_3,71,0.2538149356842041;
j6043_4,77,0.263369083404541;
j6026_8,92,0.2900700569152832;
j601_6,59,0.19367098808288574;
j6023_10,69,0.2277979850769043;
j6017_3,92,0.3041820526123047;
j6036_6,77,0.2668910026550293;
j6039_5,74,0.2552471160888672;
j6030_8,68,0.228010892868042;
j607_8,67,0.1891179084777832;
j6020_6,98,0.31188511848449707;
j6023_1,76,0.22811603546142578;
j6021_7,99,0.3632471561431885;
j6031_9,87,0.2635619640350342;
j606_9,67,0.20845389366149902;
j6019_1,63,0.21152710914611816;
j6038_4,60,0.253676176071167;
j6037_7,92,0.40869975090026855;
j6016_2,65,0.1765880584716797;
j6027_9,78,0.2524280548095703;
j6042_5,75,0.28742194175720215;
j6041_2,105,0.394010066986084;
j6042_10,91,0.3159449100494385;
j6015_5,71,0.19650483131408691;
j6045_1,83,0.36605000495910645;
j6011_6,72,0.19561409950256348;
j6030_3,88,0.26944589614868164;
j607_3,63,0.20154476165771484;
j604_4,66,0.18541812896728516;
j6012_1,60,0.19573020935058594;
j6033_4,82,0.277850866317749;
j6046_6,94,0.31150317192077637;
j6024_10,67,0.2156820297241211;
j6040_8,81,0.26673293113708496;
j6025_4,103,0.36670684814453125;
j6019_10,80,0.23776936531066895;
j6017_8,87,0.28157520294189453;
j6026_3,73,0.264934778213501;
j6027_2,76,0.24701571464538574;
j6028_1,93,0.2442319393157959;
j608_10,98,0.23570919036865234;
j6016_9,55,0.16362309455871582;
j6024_5,77,0.23573517799377441;
j6041_9,104,0.4901299476623535;
j6047_7,69,0.23668885231018066;
j6048_4,63,0.22939300537109375;
j605_5,112,0.30087709426879883;
j6032_5,79,0.23096108436584473;
j6031_2,77,0.21407198905944824;
j6010_7,73,0.2098400592803955;
j6045_10,82,0.43471312522888184;
j609_1,74,0.2777101993560791;
j606_2,73,0.19049692153930664;
j6012_5,64,0.18671917915344238;
j6046_2,81,0.27933788299560547;
j6045_5,87,0.40280985832214355;
j6020_9,75,0.21587204933166504;
j608_4,65,0.17669987678527832;
j607_7,90,0.24692034721374512;
j6011_2,62,0.17305994033813477;
j6030_7,85,0.28286314010620117;
j6047_10,70,0.25489306449890137;
j6036_9,87,0.27892208099365234;
j601_9,80,0.24716424942016602;
j6026_7,74,0.25067710876464844;
j6029_4,93,0.4353621006011963;
j6024_1,66,0.21155810356140137;
j6028_5,72,0.21590399742126465;
j6027_6,65,0.22402691841125488;
j6037_8,87,0.37982702255249023;
