projectName, makespan, duration;
j1205_3,74,0.7707393169403076;
j12020_1,90,0.9142239093780518;
j12055_3,127,1.3306119441986084;
j1203_10,104,0.8805229663848877;
j12056_4,87,1.160142183303833;
j12033_8,96,1.0277378559112549;
j12059_7,91,1.0339241027832031;
j12023_6,109,1.1666271686553955;
j12049_9,98,1.1292309761047363;
j12018_10,85,0.8256199359893799;
j1206_4,115,1.0898818969726562;
j1209_7,81,0.7894401550292969;
j12060_10,86,1.1240959167480469;
j12025_8,78,0.9164609909057617;
j12025_10,93,1.035067081451416;
j12040_4,113,1.1091711521148682;
j12035_6,87,0.9996919631958008;
j12014_3,89,0.8339221477508545;
j12036_1,99,1.0573182106018066;
j12017_4,92,0.9283809661865234;
j12018_7,90,0.7878201007843018;
j12039_2,105,1.0532710552215576;
j12043_3,96,1.2132601737976074;
j12042_2,129,1.4304018020629883;
j12044_10,100,1.1987273693084717;
j12038_3,106,0.985191822052002;
j12019_6,81,0.8525550365447998;
j12016_5,93,0.9145338535308838;
j12015_2,76,0.7689430713653564;
j12034_7,106,1.0210678577423096;
j12041_5,117,1.3300600051879883;
j12024_9,77,0.9870619773864746;
j12048_8,105,1.1660327911376953;
j12022_7,125,1.1335749626159668;
j1208_6,83,0.8424739837646484;
j1207_5,89,0.7676899433135986;
j12058_6,104,1.2380189895629883;
j12032_9,87,0.9892287254333496;
j12057_5,97,1.2392897605895996;
j12054_2,137,1.5238151550292969;
j1204_2,108,0.8311591148376465;
j12059_3,109,1.2734451293945312;
j12012_9,78,0.8413140773773193;
j1209_3,88,0.8469698429107666;
j12023_2,118,1.1936252117156982;
j12020_5,70,0.773688793182373;
j12045_9,115,1.272326946258545;
j1205_7,85,0.8102059364318848;
j12055_7,106,1.1947059631347656;
j12018_3,73,0.7666671276092529;
j12039_6,96,1.0491549968719482;
j12053_9,131,1.3300137519836426;
j12036_5,96,1.031008005142212;
j12046_10,108,1.2654941082000732;
j1203_9,88,0.876859188079834;
j12029_8,81,0.9659030437469482;
j12043_7,121,1.5066139698028564;
j12035_2,112,1.0737011432647705;
j12014_7,90,0.8568620681762695;
j12015_6,98,0.8365230560302734;
j12034_3,98,0.9705359935760498;
j12041_1,115,1.4508459568023682;
j12060_4,102,1.0941338539123535;
j12027_10,106,1.1389141082763672;
j1202_8,81,0.8744301795959473;
j12042_6,99,1.305826187133789;
j12028_9,94,1.1451330184936523;
j12016_1,72,0.7880518436431885;
j12037_4,96,1.045609951019287;
j12052_8,115,1.3775482177734375;
j12038_7,92,1.059682846069336;
j12019_2,82,0.7840030193328857;
j12054_6,101,1.1175289154052734;
j12044_8,109,1.2790770530700684;
j12021_4,114,1.3276667594909668;
j1204_6,88,0.8099801540374756;
j1207_1,80,0.8472511768341064;
j1208_2,92,0.8563008308410645;
j12022_3,92,1.0883369445800781;
j12057_1,115,1.253122091293335;
j12013_8,88,0.8370609283447266;
j12058_2,107,1.334390640258789;
j1201_10,103,1.0627169609069824;
j12056_1,96,1.164496898651123;
j12012_8,73,0.8207778930664062;
j12059_2,91,1.1456189155578613;
j1206_1,87,0.9133388996124268;
j1209_2,95,0.8630871772766113;
j12023_3,100,1.0102379322052002;
j12045_8,104,1.1762607097625732;
j12020_4,90,0.8432309627532959;
j12023_10,101,1.038681983947754;
j1205_6,89,0.8009397983551025;
j12055_6,99,1.1835761070251465;
j12036_4,97,1.0212275981903076;
j12017_1,88,0.873082160949707;
j12053_8,104,1.1678006649017334;
j12018_2,112,0.8970761299133301;
j12039_7,95,0.9228911399841309;
j1205_10,93,0.8442847728729248;
j1203_8,80,0.8134381771087646;
j12043_6,89,1.2340948581695557;
j12029_9,98,1.017888069152832;
j12040_1,79,0.9467031955718994;
j12035_3,78,0.9556400775909424;
j12014_6,92,0.8576507568359375;
j12015_7,76,0.7962319850921631;
j12034_2,102,1.0889956951141357;
j12060_5,97,1.0574429035186768;
j1202_9,95,0.7825000286102295;
j12028_8,88,1.0048110485076904;
j12042_7,129,1.4248549938201904;
j12038_6,96,1.0770509243011475;
j12019_3,73,0.7346909046173096;
j12052_9,89,1.121485948562622;
j12037_5,115,1.0642409324645996;
j12054_7,102,1.1859800815582275;
j12021_5,97,1.194509744644165;
j12044_9,92,1.0352520942687988;
j1204_7,85,0.799846887588501;
j1208_3,89,0.8309969902038574;
j12022_2,106,1.096724271774292;
j12058_3,92,1.0400888919830322;
j12013_9,78,0.8019137382507324;
j12042_10,109,1.2890398502349854;
j1205_2,81,0.8187699317932129;
j12055_2,84,1.1256790161132812;
j12040_10,97,1.067087173461914;
j12059_6,104,1.1989450454711914;
j12033_9,103,1.0616679191589355;
j12056_5,118,1.3355557918548584;
j12049_8,113,1.1825189590454102;
j12023_7,106,1.1061429977416992;
j1209_6,99,0.8562920093536377;
j1206_5,80,0.8808739185333252;
j12040_5,102,1.0113258361816406;
j12025_9,95,0.9190809726715088;
j12038_10,97,0.9942500591278076;
j12035_7,100,1.052485704421997;
j12014_2,87,0.792492151260376;
j12018_6,109,0.8319559097290039;
j12039_3,101,1.031743049621582;
j12017_5,91,0.8559250831604004;
j12043_2,116,1.309960126876831;
j12042_3,101,1.179574966430664;
j12059_10,107,1.1150450706481934;
j1207_10,85,0.7678089141845703;
j12016_4,81,0.862497091293335;
j12037_1,97,1.0391497611999512;
j12038_2,93,1.0181419849395752;
j12019_7,94,0.8467662334442139;
j12015_3,90,0.856776237487793;
j12034_6,101,1.1567721366882324;
j12024_8,106,0.9530680179595947;
j12041_4,102,1.3321068286895752;
j12060_1,102,1.2095301151275635;
j12022_6,96,1.0663478374481201;
j12048_9,102,1.125704050064087;
j1207_4,88,0.7880301475524902;
j1208_7,88,0.8568108081817627;
j12057_4,121,1.2455229759216309;
j12032_8,82,0.9559659957885742;
j12058_7,115,1.2652819156646729;
j12054_3,112,1.3220789432525635;
j1204_3,92,0.833014965057373;
j12021_1,103,1.2026939392089844;
j12021_10,97,1.1392629146575928;
j12014_9,102,0.8170690536499023;
j12025_2,109,1.1154670715332031;
j12043_9,105,1.2225289344787598;
j12026_5,85,1.2020750045776367;
j12029_6,89,0.9417400360107422;
j12047_10,110,1.2995798587799072;
j1203_7,94,0.892197847366333;
j12053_7,121,1.3432250022888184;
j12039_8,94,0.9965267181396484;
j12030_5,82,0.917778730392456;
j12055_9,95,1.1403253078460693;
j1205_9,107,0.8520770072937012;
j12045_7,104,1.1964411735534668;
j12049_3,94,1.1280839443206787;
j12033_2,93,0.9598441123962402;
j12012_7,84,0.8305830955505371;
j12013_6,87,0.8042051792144775;
j12032_3,112,1.3296401500701904;
j12048_2,91,1.0732288360595703;
j12047_1,108,1.2118339538574219;
j1204_8,91,0.7633621692657471;
j12044_6,107,1.2113511562347412;
j12054_8,90,1.0918216705322266;
j12010_1,112,0.8946750164031982;
j12031_4,139,1.6437671184539795;
j12038_9,135,1.246074914932251;
j12052_6,133,1.699544906616211;
j12028_7,101,1.1260747909545898;
j12027_4,86,1.0471467971801758;
j12042_8,111,1.6137192249298096;
j1202_6,79,0.9950122833251953;
j1201_1,102,0.943126916885376;
j12024_3,90,0.945199728012085;
j12015_8,127,1.1211702823638916;
j12026_10,135,1.6316819190979004;
j12051_1,101,1.233201026916504;
j1203_3,102,1.0709559917449951;
j12029_2,92,1.1189360618591309;
j12026_1,110,1.3929598331451416;
j12018_9,77,0.7997922897338867;
j12053_3,104,1.1960482597351074;
j12035_8,102,1.0976436138153076;
j12024_10,92,0.9665873050689697;
j12050_4,95,1.1806750297546387;
j12025_6,92,0.9576148986816406;
j1202_10,90,0.9755268096923828;
j1209_9,88,0.759505033493042;
j12049_7,98,1.0851390361785889;
j12046_4,91,1.146803855895996;
j12023_8,103,1.0925390720367432;
j12059_9,113,1.2840240001678467;
j12033_6,116,1.1214771270751953;
j12012_3,85,0.7955148220062256;
j12019_10,89,0.8156921863555908;
j12030_1,103,1.076840877532959;
j12011_4,119,1.1659331321716309;
j12045_3,99,1.2747588157653809;
j12044_2,108,1.2974708080291748;
j12010_5,98,0.8561182022094727;
j12013_2,73,0.7838609218597412;
j12032_7,108,1.1560211181640625;
j12058_8,100,1.239069938659668;
j1208_8,89,0.8328537940979004;
j12022_9,100,1.1118168830871582;
j12047_5,110,1.3659169673919678;
j12048_6,97,1.1469700336456299;
j12024_7,110,1.0432078838348389;
j1201_5,95,0.8396520614624023;
j12051_5,103,1.293172836303711;
j12034_9,89,1.0053489208221436;
j12052_2,112,1.2445759773254395;
j12019_8,94,0.8631107807159424;
j12045_10,100,1.1073012351989746;
j1202_2,76,0.7854070663452148;
j12028_3,102,1.0905921459197998;
j1203_2,89,0.7848711013793945;
j12029_3,84,0.9679522514343262;
j12053_2,109,1.229628086090088;
j12018_8,89,0.8363792896270752;
j12050_5,101,1.1427948474884033;
j12035_9,92,0.9666073322296143;
j12025_7,92,0.9342226982116699;
j12039_10,100,1.0517499446868896;
j12041_10,123,1.4997811317443848;
j1209_8,81,0.796637773513794;
j12023_9,108,1.07723069190979;
j12046_5,98,1.265085220336914;
j12049_6,129,1.3369970321655273;
j12033_7,94,1.0344150066375732;
j12012_2,73,0.7945280075073242;
j12059_8,99,1.0233209133148193;
j12011_5,102,0.9577939510345459;
j12045_2,93,1.1248047351837158;
j12044_3,108,1.251452922821045;
j12020_10,82,0.7979280948638916;
j12010_4,96,0.7867319583892822;
j12031_1,94,1.0462820529937744;
j12058_9,93,1.138221025466919;
j12013_3,107,0.9481770992279053;
j12032_6,103,1.1423170566558838;
j1208_9,84,0.7886080741882324;
j12048_7,103,1.1696910858154297;
