projectName, alpha, makespan, duration;
j12020_1,0.17,92,1.8467700481414795;
j12028_6,0.17,106,2.3104660511016846;
j1209_8,0.03,86,1.7285518646240234;
j12052_8,0.03,139,4.0231218338012695;
j1205_6,0.03,91,1.7420952320098877;
j12036_1,0.03,134,3.942523956298828;
j12029_10,0.03,104,2.3081138134002686;
j12011_7,0.03,108,2.8518340587615967;
j12041_9,0.03,126,3.0487589836120605;
j1202_3,0.03,98,1.8003730773925781;
j12024_10,0.03,96,2.1579949855804443;
j12030_5,0.03,89,2.106066942214966;
j12019_2,0.03,92,1.8968031406402588;
j12060_9,0.03,103,2.54691481590271;
j12017_8,0.03,91,2.1468989849090576;
j12037_7,0.03,115,3.0851240158081055;
j12030_9,0.03,94,2.165480136871338;
j12023_7,0.03,106,2.416501998901367;
j12025_7,0.03,94,2.1784698963165283;
j12024_7,0.03,119,2.3042550086975098;
j12020_9,0.03,81,1.7914559841156006;
j12053_1,0.03,145,3.524214029312134;
j12050_6,0.03,113,2.6128792762756348;
j12058_6,0.03,124,3.474992036819458;
j12034_9,0.03,97,2.290102243423462;
j12026_9,0.03,157,4.129377126693726;
j12025_2,0.03,110,2.4070639610290527;
j12012_8,0.03,90,2.1462159156799316;
j12039_6,0.03,103,2.413320779800415;
j12050_9,0.03,106,2.7824230194091797;
j12049_1,0.03,108,2.823657989501953;
j12043_10,0.03,114,2.8999979496002197;
j12020_10,0.03,90,1.8962953090667725;
j12036_8,0.03,105,3.511545181274414;
j12027_2,0.03,107,2.4921531677246094;
j12013_7,0.03,110,2.147067070007324;
j12031_10,0.03,152,4.7251880168914795;
j12039_4,0.03,91,2.374375104904175;
j1208_5,0.03,103,2.0619821548461914;
j12054_2,0.03,138,3.2335219383239746;
j12013_6,0.03,98,1.9459021091461182;
j12046_8,0.03,151,4.44303822517395;
j12053_4,0.03,139,3.415809154510498;
j12023_1,0.03,121,2.556278944015503;
j12015_5,0.03,88,1.7779760360717773;
j12029_2,0.03,98,2.1818532943725586;
j12031_9,0.03,136,4.1205971240997314;
j1203_6,0.03,110,2.063598155975342;
j12028_3,0.03,109,2.392484188079834;
j12011_6,0.03,131,3.382500171661377;
j12020_1,0.03,93,1.8268630504608154;
j12028_6,0.03,104,2.3261780738830566;
