problemType, makespan, GRASP, diff
j1202_10, 96, 99, 3
j1209_9, 87, 93, 6
j12049_7, 99, 104, 5
j12046_4, 170, 179, 9
j12023_8, 101, 111, 10
j12059_9, 118, 134, 16
j12033_6, 115, 137, 22
j12012_3, 136, 151, 15
j12019_10, 88, 93, 5
j12030_1, 102, 109, 7
j12011_4, 195, 217, 22
j12045_3, 98, 99, 1
j12044_2, 112, 111, -1
j12010_5, 97, 101, 4
j12013_2, 88, 93, 5
j12032_7, 122, 135, 13
j12058_8, 132, 143, 11
j1208_8, 87, 92, 5
j12022_9, 109, 113, 4
j12047_5, 127, 153, 26
j12048_6, 105, 108, 3
j12024_7, 112, 120, 8
j1201_5, 112, 121, 9
j12051_5, 229, 261, 32
j12034_9, 94, 104, 10
j12052_2, 183, 190, 7
j12019_8, 93, 106, 13
j12045_10, 99, 103, 4
j1202_2, 75, 85, 10
j12028_3, 101, 112, 11
j1203_2, 88, 90, 2
j12029_3, 97, 99, 2
j12053_2, 115, 132, 17
j12018_8, 105, 120, 15
j12050_5, 100, 106, 6
j12035_9, 91, 98, 7
j12035_9, 91, 97, 6
j12025_7, 92, 95, 3
j12039_10, 110, 124, 14
j12041_10, 136, 140, 4
j1209_8, 80, 88, 8
j12023_9, 107, 120, 13
j12046_5, 149, 156, 7
j12049_6, 128, 133, 5
j12033_7, 123, 138, 15
j12012_2, 117, 119, 2
j12059_8, 110, 118, 8
j12011_5, 210, 235, 25
j12045_2, 91, 92, 1
j12044_3, 107, 108, 1
j12020_10, 81, 91, 10
j12010_4, 95, 102, 7
j12031_1, 197, 212, 15
j12058_9, 130, 137, 7
j12013_3, 118, 143, 25
j12032_6, 128, 142, 14
j1208_9, 94, 101, 7
j12048_7, 106, 124, 18
j12047_4, 132, 142, 10
j12022_8, 103, 115, 12
j12024_6, 95, 96, 1
j1201_4, 97, 107, 10
j12034_8, 89, 102, 13
j12051_4, 211, 245, 34
j12019_9, 88, 97, 9
j12052_3, 134, 150, 16
j12058_10, 131, 142, 11
j1206_10, 171, 199, 28
j1202_3, 92, 97, 5
j12028_2, 110, 125, 15
j12027_1, 108, 116, 8
j12014_8, 112, 116, 4
j12050_1, 116, 118, 2
j12025_3, 100, 101, 1
j12029_7, 97, 101, 4
j12026_4, 172, 201, 29
j12043_8, 115, 117, 2
j1204_10, 77, 79, 2
j1203_6, 102, 110, 8
j12039_9, 92, 97, 5
j12053_6, 106, 114, 8
j12055_8, 101, 115, 14
j12030_4, 83, 86, 3
j12022_10, 79, 87, 8
j12011_1, 172, 183, 11
j1205_8, 78, 80, 2
j12045_6, 125, 128, 3
j12049_2, 109, 116, 7
j12046_1, 188, 208, 20
j12033_3, 107, 121, 14
j12012_6, 121, 129, 8
j12013_7, 109, 120, 11
j12032_2, 131, 140, 9
j12048_3, 111, 122, 11
j12043_10, 113, 115, 2
j1204_9, 79, 80, 1
j12044_7, 98, 101, 3
j12031_5, 200, 230, 30
j12054_9, 107, 116, 9
j12052_7, 149, 159, 10
j12038_8, 125, 136, 11
j12042_9, 104, 116, 12
j12027_5, 111, 120, 9
j12028_6, 103, 114, 11
j1202_7, 90, 97, 7
j12024_2, 91, 93, 2
j12015_9, 109, 115, 6
j12017_8, 127, 134, 7
j12053_1, 144, 166, 22
j12026_3, 167, 184, 17
j1203_1, 80, 94, 14
j12037_10, 131, 137, 6
j12025_4, 117, 118, 1
j12040_8, 97, 107, 10
j12050_6, 102, 108, 6
j12056_8, 288, 318, 30
j12033_4, 112, 129, 17
j12012_1, 137, 151, 14
j12046_6, 177, 187, 10
j12049_5, 89, 93, 4
j1206_8, 147, 175, 28
j12045_1, 108, 109, 1
j12045_1, 108, 109, 1
j12030_3, 108, 109, 1
j12011_6, 210, 228, 18
j12010_7, 79, 84, 5
j12031_2, 192, 218, 26
j12048_4, 127, 132, 5
j12047_7, 118, 143, 25
j1207_9, 89, 100, 11
j12032_5, 138, 152, 14
j12057_9, 167, 183, 16
j12051_7, 211, 236, 25
j1201_7, 117, 123, 6
j12041_9, 121, 129, 8
j12024_5, 86, 88, 2
j1208_10, 92, 101, 9
j12028_1, 108, 123, 15
j12027_2, 115, 125, 10
j12056_10, 258, 274, 16
j12016_9, 205, 214, 9
j12013_10, 92, 106, 14
j12050_2, 112, 119, 7
j12054_10, 108, 117, 9
j12054_10, 108, 118, 10
j12053_5, 113, 128, 15
j12011_10, 180, 210, 30
j12036_9, 219, 248, 29
j1203_5, 84, 95, 11
j12029_4, 80, 91, 11
j12026_7, 157, 176, 19
