projectName, alpha, makespan, duration;
j6014_5,0.25,61,0.77;
j6014_5,RND,60,0.76;
j6040_2,0.25,82,1.12;
j6040_2,RND,82,1.1;
j6026_9,0.25,72,1.06;
j6026_9,RND,72,1.04;
j6043_5,0.25,67,1.05;
j6043_5,RND,65,1.06;
j601_7,0.25,71,0.97;
j601_7,RND,75,0.93;
j6039_4,0.25,96,1.33;
j6039_4,RND,96,1.34;
j6018_1,0.25,94,1.22;
j6018_1,RND,94,1.2;
j6017_2,0.25,85,1.13;
j6017_2,RND,85,1.1;
j6036_7,0.25,72,1.06;
j6036_7,RND,72,1.05;
j6030_9,0.25,109,1.36;
j6030_9,RND,105,1.34;
j607_9,0.25,45,0.65;
j607_9,RND,45,0.65;
j6020_7,0.25,75,1.01;
j6020_7,RND,75,1.06;
j6046_10,0.25,95,1.28;
j6046_10,0.25,95,1.3;
j6027_10,0.25,58,0.88;
j6027_10,RND,58,0.85;
j6022_1,0.25,72,0.89;
j6022_1,RND,72,0.87;
j6021_6,0.25,101,1.39;
j6021_6,RND,88,1.51;
j6031_8,0.25,76,0.95;
j6031_8,RND,76,0.94;
j606_8,0.25,83,1.02;
j606_8,RND,80,1.03;
j6037_6,0.25,109,1.65;
j6037_6,RND,106,1.65;
j6016_3,0.25,54,0.79;
j6016_3,RND,54,0.78;
j6038_5,0.25,118,1.56;
j6038_5,RND,118,1.57;
j6042_4,0.25,109,1.66;
j6042_4,RND,109,1.71;
j6027_8,0.25,95,1.21;
j6027_8,RND,95,1.13;
j6041_3,0.25,102,1.6;
j6041_3,RND,99,1.6;
j6034_1,0.25,70,1.04;
j6034_1,RND,70,1.07;
j6015_4,0.25,76,0.78;
j6015_4,RND,76,0.81;
j603_1,0.25,61,0.74;
j603_1,RND,61,0.78;
j6043_1,0.25,117,1.59;
j6043_1,RND,109,1.51;
j6017_6,0.25,73,1.18;
j6017_6,RND,70,1.19;
j6036_3,0.25,82,1.17;
j6036_3,RND,82,1.2;
j6018_5,0.25,83,1.05;
j6018_5,RND,81,1.04;
j601_3,0.25,84,0.99;
j601_3,RND,73,0.98;
j602_4,0.25,79,0.89;
j602_4,RND,79,0.9;
j6014_1,0.25,66,0.75;
j6014_1,RND,66,0.77;
j6035_4,0.25,73,1.11;
j6035_4,RND,73,1.08;
j6018_10,0.25,108,1.2;
j6018_10,RND,100,1.15;
j6040_6,0.25,70,1.17;
j6040_6,RND,70,1.24;
j6023_4,0.25,86,1.28;
j6023_4,RND,86,1.16;
j6046_8,0.25,77,1.34;
j6046_8,RND,78,1.48;
j6025_10,0.25,119,1.53;
j6025_10,RND,115,2.14;
j6011_8,0.25,73,1.64;
j6011_8,RND,70,1.61;
