projectName, alpha, makespan, duration;
j903_8,100,RND,88,2.28
j903_8,200,RND,87,4.29
j9038_8,100,RND,96,2.92
j9038_8,200,RND,97,5.87
j9027_5,100,RND,100,2.6
j9027_5,200,RND,100,5.14
j9042_9,100,RND,91,2.55
j9042_9,200,RND,90,5.12
j9036_10,100,RND,110,2.86
j9036_10,200,RND,110,5.75
j9028_6,100,RND,103,2.41
j9028_6,200,RND,103,4.83
j9024_2,100,RND,93,2.04
j9024_2,200,RND,93,4.09
j9015_9,100,RND,84,1.97
j9015_9,200,RND,84,3.95
j909_2,100,RND,140,2.84
j909_2,200,RND,141,5.66
j906_1,100,RND,83,1.84
j906_1,200,RND,83,3.68
j9032_2,100,RND,79,2.04
j9032_2,200,RND,79,4.07
j9013_7,100,RND,133,2.63
j9013_7,200,RND,139,5.24
j9048_3,100,RND,87,2.54
j9048_3,200,RND,87,5.08
j9044_7,100,RND,94,2.67
j9044_7,200,RND,94,5.37
j9031_5,100,RND,80,2.08
j9031_5,200,RND,80,4.32
j905_6,100,RND,91,2.12
j905_6,200,RND,95,4.26
j9011_1,100,RND,87,1.94
j9011_1,200,RND,87,3.89
j9030_4,100,RND,113,2.65
j9030_4,200,RND,112,5.3
j904_7,100,RND,81,1.8
j904_7,200,RND,81,3.62
j9045_6,100,RND,195,4.75
j9045_6,200,RND,193,9.44
j9046_1,100,RND,111,2.91
j9046_1,200,RND,112,5.81
j908_3,100,RND,71,1.89
j908_3,200,RND,71,3.75
j9012_6,100,RND,82,1.84
j9012_6,200,RND,82,3.75
j9033_3,100,RND,117,3.45
j9033_3,200,RND,117,6.88
j9014_8,100,RND,86,1.87
j9014_8,200,RND,84,3.73
j9012_10,100,RND,87,1.81
j9012_10,200,RND,87,3.6
j9025_3,100,RND,126,3.12
j9025_3,200,RND,132,6.21
j9029_7,100,RND,181,4.03
j9029_7,200,RND,181,8.07
j9043_8,100,RND,101,2.82
j9043_8,200,RND,101,5.66
j9026_4,100,RND,107,2.42
j9026_4,200,RND,106,4.88
j904_10,100,RND,69,1.7
j904_10,200,RND,69,3.43
j902_9,100,RND,80,1.77
j902_9,200,RND,80,3.54
j9039_9,100,RND,80,2.51
j9039_9,200,RND,80,5.02
j9024_6,100,RND,80,2.26
j9024_6,200,RND,80,4.52
j9010_10,100,RND,80,1.83
j9010_10,200,RND,78,3.7
j9034_8,100,RND,83,2.46
j9034_8,200,RND,82,4.9
j9019_9,100,RND,122,2.76
j9019_9,200,RND,122,5.48
j906_10,100,RND,98,2.16
j906_10,200,RND,97,4.28
j9028_2,100,RND,77,2.41
j9028_2,200,RND,77,4.84
j9027_1,100,RND,97,2.16
j9027_1,200,RND,97,4.36
j9044_3,100,RND,111,2.95
j9044_3,200,RND,111,5.93
j905_2,100,RND,124,2.58
j905_2,200,RND,122,5.15
j9031_1,100,RND,80,2.35
j9031_1,200,RND,80,4.71
j9010_4,100,RND,99,2.25
j9010_4,200,RND,95,4.47
j9032_6,100,RND,87,2.23
j9032_6,200,RND,87,4.46
j9013_3,100,RND,123,2.63
j9013_3,200,RND,125,5.33
j906_5,100,RND,74,1.85
j906_5,200,RND,73,3.67
j909_6,100,RND,127,2.67
j909_6,200,RND,125,5.32
j9048_7,100,RND,104,2.84
j9048_7,200,RND,104,5.77
j9022_8,100,RND,98,2.72
j9022_8,200,RND,98,5.23
j9047_4,100,RND,94,2.54
j9047_4,200,RND,94,5.02
j9046_5,100,RND,94,2.63
j9046_5,200,RND,92,5.17
