projectName, alpha, makespan, duration;
j9013_10,0.08,90,1.281646966934204;
j9023_6,0.08,88,1.1650030612945557;
j909_5,0.08,121,1.5179691314697266;
j9036_4,0.08,80,1.226508617401123;
j9028_10,0.08,69,1.100390911102295;
j9019_4,0.08,78,1.0100159645080566;
j9046_1,0.08,110,1.4916048049926758;
j9014_8,0.08,82,0.9564681053161621;
j9046_4,0.08,98,1.452880859375;
j902_8,0.08,86,0.9767112731933594;
j902_6,0.08,70,1.0010161399841309;
j9016_8,0.08,72,0.8156869411468506;
j9016_3,0.08,74,0.8773548603057861;
j9036_9,0.08,103,1.426063060760498;
j9022_1,0.08,109,1.4048349857330322;
j9010_5,0.08,79,1.0155458450317383;
j9032_9,0.08,96,1.2398369312286377;
j9037_5,0.08,129,1.9888670444488525;
j902_3,0.08,77,0.9048230648040771;
j901_2,0.08,101,1.2359049320220947;
j9031_9,0.08,73,1.0489141941070557;
j9036_5,0.08,99,1.4379029273986816;
j906_3,0.08,83,1.039710283279419;
j9017_8,0.08,117,1.5208690166473389;
j9010_9,0.08,92,0.9901440143585205;
j9030_4,0.08,109,1.356039047241211;
j9031_2,0.08,76,1.0262713432312012;
j9019_5,0.08,68,1.0134673118591309;
j9016_5,0.08,72,0.8980939388275146;
j9047_7,0.08,95,1.3578369617462158;
j908_8,0.08,69,0.9248600006103516;
j9041_5,0.08,116,1.8486459255218506;
j9042_2,0.08,99,1.4723939895629883;
j9026_3,0.08,86,1.1879780292510986;
j9034_7,0.08,95,1.4115581512451172;
j9044_2,0.08,93,1.2148280143737793;
j9013_4,0.08,94,1.3012638092041016;
j9025_9,0.08,97,1.4969308376312256;
j9021_5,0.08,101,1.555346965789795;
j907_8,0.08,65,0.9128587245941162;
j9038_1,0.08,89,1.3930931091308594;
j9042_9,0.08,87,1.3312900066375732;
j904_9,0.08,80,0.9387149810791016;
j9014_2,0.08,85,0.9909400939941406;
j9032_2,0.08,79,1.0201678276062012;
j9037_10,0.08,125,1.8764369487762451;
j9041_9,0.08,114,1.922480821609497;
j9029_9,0.08,97,1.570692777633667;
j9023_2,0.08,85,1.1599900722503662;
j9013_5,0.08,98,1.307570219039917;
j9013_10,0.72,87,1.2775139808654785;
j9023_6,0.72,88,1.200620174407959;
j909_5,0.72,116,2.02260684967041;
j9036_4,0.72,80,3.171658992767334;
j9028_10,0.72,69,1.2131609916687012;
j9019_4,0.72,78,1.047659158706665;
j9046_1,0.72,110,1.4759407043457031;
j9014_8,0.72,81,0.951927661895752;
j9046_4,0.72,98,1.4162118434906006;
j902_8,0.72,86,0.9786550998687744;
j902_6,0.72,70,1.0052900314331055;
j9016_8,0.72,72,0.8329870700836182;
j9016_3,0.72,74,0.8973419666290283;
j9036_9,0.72,103,1.41855788230896;
j9022_1,0.72,109,1.615159034729004;
j9010_5,0.72,79,1.0996339321136475;
j9032_9,0.72,96,1.2537810802459717;
j9037_5,0.72,123,2.0725669860839844;
