problemType, makespan, GRASP, diff
j903_8, 86, 91, 5
j9038_8, 91, 96, 5
j9027_5, 99, 106, 7
j9042_9, 83, 90, 7
j9036_10, 109, 110, 1
j9028_6, 102, 103, 1
j9024_2, 92, 93, 1
j9015_9, 83, 84, 1
j909_2, 128, 148, 20
j906_1, 82, 83, 1
j9032_2, 78, 79, 1
j9013_7, 124, 137, 13
j9048_3, 86, 87, 1
j9044_7, 93, 94, 1
j9031_5, 79, 80, 1
j905_6, 86, 95, 9
j9011_1, 86, 87, 1
j9030_4, 104, 112, 8
j904_7, 80, 81, 1
j9045_6, 175, 203, 28
j9046_1, 104, 114, 10
j908_3, 70, 71, 1
j9012_6, 81, 82, 1
j9033_3, 108, 117, 9
j9014_8, 80, 87, 7
j9012_10, 86, 87, 1
j9025_3, 123, 133, 10
j9029_7, 169, 182, 13
j9043_8, 100, 101, 1
j9026_4, 97, 110, 13
j904_10, 68, 69, 1
j902_9, 79, 82, 3
j9039_9, 79, 80, 1
j9024_6, 79, 80, 1
j9010_10, 75, 81, 6
j9034_8, 81, 86, 5
j9019_9, 121, 122, 1
j906_10, 94, 99, 5
j9028_2, 76, 77, 1
j9027_1, 96, 97, 1
j9044_3, 110, 111, 1
j905_2, 93, 120, 27
j9031_1, 79, 81, 2
j9010_4, 94, 97, 3
j9032_6, 86, 87, 1
j9013_3, 108, 126, 18
j906_5, 71, 74, 3
j909_6, 118, 128, 10
j9048_7, 103, 104, 1
j9022_8, 97, 98, 1
j9047_4, 93, 95, 2
j9046_5, 91, 97, 6
j9023_9, 126, 129, 3
j9012_2, 71, 72, 1
j9033_7, 109, 104, -5
j908_7, 77, 78, 1
j907_4, 86, 87, 1
j904_3, 67, 68, 1
j9011_5, 81, 82, 1
j9045_2, 146, 148, 2
j9034_10, 101, 102, 1
j9029_3, 144, 162, 18
j9018_8, 92, 97, 5
j9035_9, 76, 77, 1
j9025_7, 129, 144, 15
j9024_7, 87, 88, 1
j9048_10, 93, 94, 1
j9034_9, 109, 113, 4
j9019_8, 91, 92, 1
j9028_3, 86, 87, 1
j9044_2, 92, 93, 1
j905_3, 87, 94, 7
j9010_5, 78, 79, 1
j9032_7, 87, 88, 1
j9013_2, 127, 136, 9
j909_7, 108, 114, 6
j906_4, 80, 85, 5
j9047_5, 93, 95, 2
j9022_9, 101, 111, 10
j9030_10, 90, 99, 9
j9048_6, 114, 115, 1
j902_10, 80, 81, 1
j9023_8, 92, 96, 4
j9046_4, 93, 105, 12
j9012_3, 93, 94, 1
j9033_6, 88, 95, 7
j907_5, 79, 82, 3
j908_6, 70, 71, 1
j904_2, 89, 90, 1
j9014_10, 85, 89, 4
j9011_4, 64, 68, 4
j9030_1, 102, 112, 10
j9045_3, 154, 167, 13
j9029_2, 126, 128, 2
j9026_1, 90, 95, 5
j9018_9, 79, 80, 1
j9029_10, 125, 134, 9
j9035_8, 85, 86, 1
j9025_6, 121, 134, 13
j903_9, 61, 62, 1
j9038_9, 95, 96, 1
j9028_7, 97, 98, 1
j9042_8, 105, 108, 3
j9027_4, 79, 80, 1
j9024_3, 69, 70, 1
j9015_8, 82, 83, 1
j909_3, 102, 112, 10
j9032_3, 89, 90, 1
j9013_6, 123, 133, 10
j9048_2, 89, 90, 1
j9047_1, 82, 83, 1
j9044_6, 96, 97, 1
j9031_4, 79, 84, 5
j9010_1, 77, 80, 3
j905_7, 107, 120, 13
j9016_10, 71, 72, 1
j9030_5, 83, 96, 13
j904_6, 78, 79, 1
j9045_7, 136, 150, 14
j9032_10, 91, 92, 1
j908_2, 78, 79, 1
j907_1, 88, 89, 1
j9012_7, 77, 78, 1
j9033_2, 112, 126, 14
j9014_9, 112, 113, 1
j9025_2, 130, 134, 4
j9026_5, 85, 94, 9
j9043_9, 88, 91, 3
j9029_6, 123, 126, 3
j902_8, 82, 85, 3
j9039_8, 81, 85, 4
j9022_6, 71, 74, 3
j9048_9, 89, 90, 1
j909_8, 116, 123, 7
j9032_8, 79, 80, 1
j9021_1, 110, 118, 8
j9042_3, 94, 101, 7
j907_10, 98, 100, 2
j903_2, 84, 85, 1
j9037_1, 110, 116, 6
j9016_4, 69, 70, 1
j9019_7, 66, 70, 4
j9038_2, 78, 79, 1
j9034_6, 89, 93, 4
j9015_3, 82, 84, 2
j9011_10, 81, 82, 1
j9041_4, 154, 161, 7
j9024_8, 88, 89, 1
j9025_9, 106, 115, 9
j9040_5, 92, 93, 1
j9014_2, 79, 84, 5
j9014_2, 79, 83, 4
j9035_7, 78, 79, 1
j901_4, 86, 90, 4
j902_3, 75, 76, 1
j9035_10, 82, 83, 1
j9039_3, 83, 84, 1
j9018_6, 83, 86, 3
j9017_5, 113, 124, 11
j9043_2, 91, 94, 3
j908_9, 97, 98, 1
j9033_9, 95, 98, 3
j9023_7, 77, 79, 2
j905_8, 102, 110, 8
j9044_9, 96, 97, 1
j9021_5, 112, 121, 9
j9022_2, 85, 87, 2
j9013_9, 123, 140, 17
j9034_2, 89, 90, 1
j9015_7, 82, 83, 1
j9028_8, 110, 111, 1
j9028_8, 110, 111, 1
j9042_7, 87, 93, 6
j9037_10, 123, 133, 10
j9019_3, 89, 91, 2
j9038_6, 88, 94, 6
j9037_5, 126, 141, 15
j903_6, 68, 69, 1
j9017_1, 92, 98, 6
j9036_4, 79, 80, 1
j9039_7, 85, 86, 1
j9018_2, 94, 95, 1
j905_10, 96, 114, 18
j902_7, 92, 96, 4
j9043_6, 114, 123, 9
j9029_9, 127, 141, 14
j9040_1, 95, 96, 1
j9013_10, 119, 127, 8
j9014_6, 76, 85, 9
j9035_3, 96, 103, 7
j9012_8, 83, 84, 1
j9023_3, 116, 117, 1
j9020_4, 86, 87, 1
j9045_8, 160, 177, 17
j904_9, 79, 80, 1
j905_9, 115, 133, 18
j9021_4, 106, 120, 14
j9044_8, 99, 100, 1
j9017_10, 89, 90, 1
j9022_3, 83, 85, 2
j9013_8, 116, 122, 6
j901_10, 90, 98, 8
j9034_3, 82, 83, 1
j9015_6, 61, 62, 1
j9041_1, 142, 145, 3
j9042_6, 89, 92, 3
j9028_9, 120, 121, 1
j9037_4, 123, 133, 10
j9016_1, 85, 86, 1
j9019_2, 83, 84, 1
j9038_7, 85, 86, 1
j903_7, 87, 90, 3
j9039_6, 102, 103, 1
j9018_3, 83, 84, 1
j9036_5, 98, 99, 1
j902_6, 67, 68, 1
j9029_8, 154, 170, 16
j9043_7, 88, 90, 2
j9014_7, 86, 93, 7
j9035_2, 92, 93, 1
j9033_10, 114, 118, 4
j9012_9, 77, 78, 1
j9023_2, 84, 85, 1
j9045_9, 158, 164, 6
j9020_5, 88, 89, 1
j904_8, 69, 70, 1
j9048_8, 74, 75, 1
j9022_7, 90, 93, 3
j909_9, 115, 122, 7
j9031_10, 99, 101, 2
j9032_9, 95, 96, 1
j9042_2, 102, 108, 6
j903_3, 71, 73, 2
j9019_6, 136, 140, 4
j9038_3, 89, 99, 10
j9016_5, 71, 72, 1
j9034_7, 92, 93, 1
j9015_2, 71, 72, 1
j9024_9, 80, 81, 1
j9041_5, 127, 135, 8
j9040_4, 106, 107, 1
j9025_8, 140, 152, 12
j9014_3, 94, 95, 1
j9035_6, 72, 73, 1
j901_5, 87, 96, 9
j902_2, 114, 128, 14
j9017_4, 94, 97, 3
j9036_1, 97, 98, 1
j9039_2, 119, 120, 1
j9018_7, 73, 75, 2
j9043_3, 102, 103, 1
j9028_10, 68, 69, 1
j9015_10, 78, 83, 5
j9020_1, 85, 86, 1
j903_10, 65, 66, 1
j908_8, 68, 69, 1
j9033_8, 110, 115, 5
j9023_6, 87, 88, 1
j9019_10, 85, 86, 1
j9021_7, 109, 114, 5
j9031_9, 72, 74, 2
j9041_2, 168, 179, 11
j9015_5, 93, 94, 1
j903_4, 104, 105, 1
j9037_7, 123, 129, 6
j9016_2, 71, 72, 1
j9019_1, 98, 100, 2
j9038_4, 89, 92, 3
j9027_9, 84, 85, 1
j9042_5, 105, 115, 10
j9024_10, 89, 90, 1
j9043_4, 94, 96, 2
j9026_8, 82, 86, 4
j902_5, 100, 107, 7
j9039_5, 85, 87, 2
j9017_3, 89, 101, 12
j9036_6, 99, 100, 1
j9045_10, 164, 176, 12
j9014_4, 88, 96, 8
j9035_1, 98, 101, 3
j901_2, 92, 99, 7
j9040_3, 77, 78, 1
j9023_1, 90, 91, 1
j9030_8, 82, 95, 13
j9020_6, 83, 84, 1
j906_9, 68, 69, 1
j9022_4, 96, 104, 8
j9047_8, 98, 99, 1
j9021_3, 124, 140, 16
j9010_8, 81, 84, 3
j9019_5, 66, 67, 1
j9037_3, 132, 152, 20
j9016_6, 74, 75, 1
j9042_1, 106, 118, 12
j9041_6, 135, 142, 7
j9047_10, 65, 68, 3
j9034_4, 81, 82, 1
j9015_1, 76, 79, 3
j901_6, 74, 78, 4
j9035_5, 103, 104, 1
j9040_7, 87, 88, 1
j9026_10, 92, 96, 4
j9017_7, 80, 83, 3
j9036_2, 114, 115, 1
j9039_1, 106, 107, 1
j9018_4, 98, 99, 1
j902_1, 96, 103, 7
j9011_9, 81, 82, 1
j9020_2, 76, 77, 1
j9046_9, 89, 94, 5
j9023_5, 95, 97, 2
j907_8, 60, 64, 4
j906_8, 68, 74, 6
j9022_10, 75, 82, 7
