projectName, alpha, makespan, duration;
j3021_1,0.25,95,0.8;
j3021_1,RND,95,0.72;
j304_9,0.25,39,0.24;
j304_9,RND,39,0.31;
j3032_8,0.25,55,0.59;
j3032_8,RND,55,0.4;
j3048_9,0.25,60,0.43;
j3048_9,RND,60,0.56;
j3022_6,0.25,60,0.65;
j3022_6,0.25,60,0.73;
j3024_8,0.25,39,0.33;
j3024_8,RND,39,0.25;
j3041_4,0.25,90,0.67;
j3041_4,RND,75,0.52;
j3034_6,0.25,53,0.51;
j3034_6,RND,53,0.42;
j3015_3,0.25,54,0.36;
j3015_3,RND,50,0.27;
j302_7,0.25,52,0.33;
j302_7,RND,49,0.28;
j307_10,0.25,52,0.44;
j307_10,RND,52,0.29;
j3010_10,0.25,44,0.49;
j3010_10,RND,44,0.46;
j3019_7,0.25,58,0.32;
j3019_7,RND,58,0.35;
j3038_2,0.25,62,0.44;
j3038_2,RND,54,0.4;
j3037_1,0.25,84,0.58;
j3037_1,RND,84,0.56;
j3016_4,0.25,48,0.31;
j3016_4,RND,48,0.3;
j3042_3,0.25,70,0.44;
j3042_3,RND,70,0.65;
j3043_2,0.25,51,0.48;
j3043_2,RND,51,0.36;
j3017_5,0.25,52,0.33;
j3017_5,RND,52,0.32;
j3039_3,0.25,56,0.36;
j3039_3,RND,56,0.36;
j3018_6,0.25,75,0.38;
j3018_6,RND,74,0.38;
j3014_2,0.25,56,0.3;
j3014_2,RND,55,0.28;
j3035_7,0.25,64,0.36;
j3035_7,RND,64,0.37;
j303_6,0.25,55,0.28;
j303_6,RND,55,0.28;
j3040_5,0.25,66,0.48;
j3040_5,RND,66,0.42;
j3034_10,0.25,49,0.55;
j3034_10,RND,49,0.72;
j3025_9,0.25,83,0.63;
j3025_9,RND,83,1.04;
j3023_7,0.25,65,0.59;
j3023_7,RND,65,0.44;
j305_8,0.25,73,0.41;
j305_8,RND,68,0.39;
j3033_9,0.25,66,0.48;
j3033_9,RND,66,0.5;
j3013_9,0.25,87,0.43;
j3013_9,RND,87,0.43;
j3022_2,0.25,52,0.3;
j3022_2,RND,52,0.3;
j3021_5,0.25,64,0.37;
j3021_5,RND,64,0.42;
j3044_9,0.25,65,0.33;
j3044_9,RND,65,0.35;
j308_9,0.25,40,0.32;
j308_9,RND,40,0.24;
j3037_5,0.25,89,0.45;
j3037_5,RND,89,0.45;
j3019_3,0.25,84,0.41;
j3019_3,RND,84,0.39;
j3038_6,0.25,66,0.37;
j3038_6,RND,66,0.59;
j301_4,0.25,63,0.42;
j301_4,RND,63,0.48;
j3042_7,0.25,75,0.49;
j3042_7,RND,75,0.46;
j3028_8,0.25,54,0.38;
j3028_8,RND,54,0.47;
j3036_10,0.25,60,0.34;
j3036_10,RND,60,0.33;
j302_3,0.25,46,0.32;
j302_3,RND,46,0.26;
j3034_2,0.25,45,0.29;
j3034_2,RND,45,0.27;
j3015_7,0.25,50,0.24;
j3015_7,RND,50,0.28;
j303_2,0.25,41,0.32;
j303_2,RND,41,0.28;
j3014_6,0.25,39,0.29;
j3014_6,RND,39,0.39;
j3035_3,0.25,63,0.74;
j3035_3,RND,63,0.48;
j3040_1,0.25,52,0.41;
j3040_1,RND,52,0.49;
j3029_9,0.25,117,0.83;
j3029_9,RND,111,0.83;
j3043_6,0.25,61,0.43;
j3043_6,RND,61,0.39;
j3039_7,0.25,57,0.42;
j3039_7,RND,58,0.48;
j3018_2,0.25,56,0.55;
j3018_2,RND,56,0.62;
j3017_1,0.25,67,0.81;
j3017_1,RND,67,0.83;
j3036_4,0.25,60,0.72;
j3036_4,RND,60,0.65;
j305_10,0.25,76,0.58;
j305_10,RND,76,0.51;
j3012_10,0.25,58,0.44;
j3012_10,RND,58,0.44;
j309_8,0.25,101,0.64;
j309_8,RND,101,0.78;
j3045_8,0.25,100,0.78;
j3045_8,RND,103,0.56;
j3020_4,0.25,44,0.42;
j3020_4,RND,44,0.3;
j3023_3,0.25,48,0.51;
j3023_3,RND,48,0.35;
j3012_8,0.25,36,0.34;
j3012_8,RND,36,0.4;
j3013_8,0.25,111,0.63;
j3013_8,RND,111,0.58;
j301_10,0.25,51,0.27;
j301_10,RND,51,0.26;
j3016_10,0.25,52,0.28;
j3016_10,RND,52,0.28;
j3022_3,0.25,64,0.34;
j3022_3,RND,64,0.35;
j3044_8,0.25,50,0.3;
j3044_8,RND,50,0.29;
j3021_4,0.25,75,0.43;
j3021_4,RND,74,0.42;
j308_8,0.25,52,0.27;
j308_8,RND,52,0.3;
j3019_2,0.25,59,0.35;
j3019_2,RND,59,0.32;
j3038_7,0.25,70,0.44;
j3038_7,RND,70,0.45;
j3037_4,0.25,88,0.56;
j3037_4,RND,88,0.57;
j3016_1,0.25,52,0.26;
j3016_1,RND,52,0.26;
j301_5,0.25,38,0.25;
j301_5,RND,38,0.26;
j3028_9,0.25,63,0.31;
j3028_9,RND,63,0.3;
j3042_6,0.25,70,0.39;
j3042_6,RND,69,0.38;
j3041_1,0.25,103,0.6;
j3041_1,RND,96,0.58;
j302_2,0.25,49,0.28;
j302_2,RND,49,0.29;
j3034_3,0.25,73,0.41;
j3034_3,RND,73,0.4;
j3015_6,0.25,73,0.32;
j3015_6,RND,73,0.32;
j303_3,0.25,58,0.29;
j303_3,RND,58,0.31;
j3014_7,0.25,57,0.39;
j3014_7,RND,57,0.3;
j3035_2,0.25,56,0.34;
j3035_2,RND,56,0.35;
j3043_7,0.25,58,0.35;
j3043_7,RND,58,0.38;
j3029_8,0.25,90,0.53;
j3029_8,RND,89,0.51;
j3036_5,0.25,65,0.38;
j3036_5,RND,65,0.39;
j3039_6,0.25,72,0.43;
j3039_6,RND,72,0.4;
j3018_3,0.25,57,0.32;
j3018_3,RND,57,0.91;
j309_9,0.25,64,0.48;
j309_9,RND,65,1.58;
j3020_5,0.25,62,0.73;
j3020_5,RND,62,1.27;
j3032_10,0.25,52,0.3;
j3032_10,RND,52,0.29;
j3045_9,0.25,89,0.81;
j3045_9,RND,89,1.12;
j3023_2,0.25,54,1.03;
j3023_2,RND,54,0.59;
j3012_9,0.25,53,0.47;
j3012_9,RND,53,0.29;
j3030_10,0.25,58,0.35;
j3030_10,RND,58,0.32;
j304_8,0.25,56,0.26;
j304_8,RND,56,0.26;
j3032_9,0.25,66,0.36;
j3032_9,RND,66,0.37;
j3022_7,0.25,63,0.54;
j3022_7,RND,63,0.55;
j3048_8,0.25,45,0.94;
j3048_8,RND,45,0.29;
j3041_5,0.25,96,0.58;
j3041_5,RND,110,1.0;
j3024_9,0.25,44,0.26;
j3024_9,RND,44,0.32;
j3034_7,0.25,61,0.53;
j3034_7,RND,61,0.54;
j3015_2,0.25,48,0.26;
j3015_2,RND,48,0.44;
j302_6,0.25,49,0.38;
j302_6,RND,49,0.51;
j301_1,0.25,45,0.39;
j301_1,RND,45,0.27;
j3016_5,0.25,52,0.45;
j3016_5,RND,52,0.34;
j3019_6,0.25,52,0.89;
j3019_6,RND,52,0.38;
j3038_3,0.25,58,0.74;
j3038_3,RND,58,0.47;
j3042_2,0.25,55,0.37;
j3042_2,RND,55,0.34;
j3048_10,0.25,55,0.34;
j3048_10,RND,55,0.55;
j3043_3,0.25,67,0.61;
j3043_3,RND,67,0.77;
j3039_2,0.25,55,0.62;
j3039_2,RND,55,0.46;
j3018_7,0.25,52,0.55;
j3018_7,RND,49,0.33;
j3017_4,0.25,58,0.49;
j3017_4,RND,57,0.38;
j3036_1,0.25,67,0.39;
j3036_1,RND,67,0.39;
j3014_3,0.25,78,0.33;
j3014_3,RND,78,0.37;
j3029_10,0.25,79,0.73;
j3029_10,RND,79,0.52;
j3035_6,0.25,59,0.96;
j3035_6,RND,59,1.06;
j303_7,0.25,55,1.26;
j303_7,RND,55,1.96;
j3025_8,0.25,82,2.97;
j3025_8,RND,69,0.53;
j3040_4,0.25,58,0.41;
j3040_4,RND,58,0.47;
j3023_6,0.25,51,0.77;
j3023_6,RND,51,4.26;
j303_10,0.25,60,4.46;
j303_10,RND,60,3.3;
j305_9,0.25,50,1.96;
j305_9,RND,50,2.02;
j3014_10,0.25,65,2.79;
j3014_10,RND,65,3.07;
j3033_8,0.25,65,2.0;
j3033_8,RND,65,3.45;
j3020_1,0.25,58,1.61;
j3020_1,RND,58,2.0;
j3037_10,0.25,88,3.52;
j3037_10,RND,71,1.76;
j3015_9,0.25,59,1.01;
j3015_9,RND,55,0.38;
j3024_2,0.25,59,0.4;
j3024_2,RND,59,0.53;
j3028_6,0.25,56,0.86;
j3028_6,RND,56,0.39;
j3042_9,0.25,71,0.43;
j3042_9,0.25,71,0.5;
j3027_5,0.25,57,0.36;
j3027_5,RND,57,0.42;
j3038_8,0.25,67,0.5;
j3038_8,RND,67,1.11;
j3031_5,0.25,57,0.54;
j3031_5,RND,57,0.61;
j308_7,0.25,42,0.34;
j308_7,RND,42,0.54;
j307_4,0.25,45,0.76;
j307_4,RND,45,0.57;
j3044_7,0.25,43,0.61;
j3044_7,RND,43,2.35;
j3048_3,0.25,51,1.51;
j3048_3,RND,51,0.94;
j304_3,0.25,48,0.74;
j304_3,RND,48,0.48;
j3032_2,0.25,61,0.39;
j3032_2,RND,61,0.37;
j3013_7,0.25,83,0.61;
j3013_7,RND,79,0.64;
j305_2,0.25,89,0.55;
j305_2,RND,89,0.6;
j3012_6,0.25,54,0.3;
j3012_6,RND,54,0.36;
j3033_3,0.25,54,0.61;
j3033_3,RND,58,0.47;
j3046_1,0.25,82,0.63;
j3046_1,RND,82,1.17;
j3045_6,0.25,136,1.55;
j3045_6,RND,136,1.31;
j3011_1,0.25,56,0.36;
j3011_1,RND,56,0.33;
j3030_4,0.25,62,0.37;
j3030_4,RND,62,0.39;
j306_5,0.25,77,0.39;
j306_5,RND,74,0.46;
j309_6,0.25,70,0.43;
j309_6,RND,70,0.36;
j3039_9,0.25,66,0.51;
j3039_9,RND,66,0.4;
j3026_4,0.25,70,0.82;
j3026_4,RND,70,1.46;
j3043_8,0.25,67,1.44;
j3043_8,RND,67,0.95;
j3029_7,0.25,75,0.95;
j3029_7,RND,76,1.28;
j3013_10,0.25,69,0.48;
j3013_10,RND,61,0.4;
j304_10,0.25,49,0.25;
j304_10,RND,49,0.27;
j3025_3,0.25,78,1.0;
j3025_3,RND,74,0.81;
j3014_8,0.25,56,0.33;
j3014_8,RND,56,0.61;
j3011_10,0.25,42,0.25;
j3011_10,RND,42,0.23;
j306_10,0.25,63,0.35;
j306_10,RND,63,0.43;
j3027_1,0.25,46,0.32;
j3027_1,RND,46,0.3;
j3028_2,0.25,58,0.32;
j3028_2,RND,58,0.36;
j3019_9,0.25,40,0.31;
j3019_9,RND,40,0.23;
j302_9,0.25,60,0.34;
j302_9,RND,60,0.35;
j3034_8,0.25,63,0.42;
j3034_8,RND,63,0.4;
j3024_6,0.25,57,0.32;
j3024_6,RND,57,0.87;
j3047_4,0.25,50,1.3;
j3047_4,RND,50,0.64;
j3022_8,0.25,60,0.35;
j3022_8,RND,59,0.38;
j3048_7,0.25,56,0.34;
j3048_7,RND,56,0.59;
j3032_6,0.25,45,0.68;
j3032_6,RND,45,0.29;
j3013_3,0.25,90,0.8;
j3013_3,RND,90,0.51;
j304_7,0.25,57,0.51;
j304_7,RND,57,0.31;
j308_3,0.25,54,0.3;
j308_3,RND,54,0.3;
j3031_1,0.25,47,0.32;
j3031_1,RND,47,0.33;
j3010_4,0.25,67,0.39;
j3010_4,RND,67,0.36;
j3044_3,0.25,52,0.34;
j3044_3,RND,52,0.33;
j3045_2,0.25,136,0.76;
j3045_2,RND,131,0.77;
j309_2,0.25,88,0.5;
j309_2,RND,92,0.53;
j306_1,0.25,60,0.33;
j306_1,RND,61,0.33;
j3011_5,0.25,63,0.4;
j3011_5,RND,55,0.32;
j3012_2,0.25,47,0.24;
j3012_2,RND,47,0.25;
j3033_7,0.25,71,0.41;
j3033_7,RND,71,0.42;
j305_6,0.25,66,0.41;
j305_6,RND,66,0.41;
j3023_9,0.25,64,0.39;
j3023_9,RND,64,0.38;
j3046_5,0.25,61,0.38;
j3046_5,RND,62,0.39;
j3025_7,0.25,113,0.6;
j3025_7,RND,113,0.78;
j303_8,0.25,55,0.32;
j303_8,RND,55,0.36;
j3035_10,0.25,60,0.41;
j3035_10,RND,60,0.4;
j3035_9,0.25,59,0.39;
j3035_9,RND,60,0.44;
j3018_8,0.25,53,0.35;
j3018_8,RND,53,0.34;
j3029_3,0.25,90,0.49;
j3029_3,RND,90,0.53;
j3028_3,0.25,41,0.29;
j3028_3,RND,41,0.3;
j3019_8,0.25,59,0.37;
j3019_8,RND,59,0.34;
j302_8,0.25,56,0.3;
j302_8,RND,55,0.3;
j3034_9,0.25,61,0.35;
j3034_9,RND,61,0.36;
j3024_7,0.25,45,0.28;
j3024_7,RND,45,0.28;
j3048_6,0.25,59,0.37;
j3048_6,RND,59,0.41;
j3022_9,0.25,77,0.37;
j3022_9,RND,77,0.45;
j3047_5,0.25,49,0.32;
j3047_5,RND,49,0.3;
j3032_7,0.25,36,0.28;
j3032_7,RND,36,0.28;
j3013_2,0.25,65,0.47;
j3013_2,RND,63,0.38;
j304_6,0.25,46,0.24;
j304_6,RND,46,0.27;
j308_2,0.25,52,0.3;
j308_2,RND,52,0.28;
j307_1,0.25,56,0.27;
j307_1,RND,56,0.27;
j3031_10,0.25,56,0.37;
j3031_10,RND,56,0.38;
j3010_5,0.25,47,0.44;
j3010_5,RND,47,0.33;
j3044_2,0.25,55,0.31;
j3044_2,RND,55,0.31;
j3045_3,0.25,107,0.61;
j3045_3,RND,93,0.64;
j309_3,0.25,79,0.42;
j309_3,RND,77,0.4;
j3011_4,0.25,67,0.29;
j3011_4,RND,61,0.28;
j3030_1,0.25,51,0.34;
j3030_1,RND,55,0.34;
j3012_3,0.25,38,0.23;
j3012_3,RND,38,0.23;
j3033_6,0.25,62,0.36;
j3033_6,RND,62,0.37;
j305_7,0.25,82,0.42;
j305_7,RND,82,0.45;
j3015_10,0.25,76,0.32;
j3015_10,RND,76,0.33;
j302_10,0.25,54,0.33;
j302_10,RND,54,0.32;
j3046_4,0.25,74,0.42;
j3046_4,RND,73,0.43;
j3023_8,0.25,52,0.29;
j3023_8,RND,50,0.29;
j3025_6,0.25,61,0.43;
j3025_6,RND,64,0.43;
j3028_10,0.25,60,0.31;
j3028_10,RND,60,0.31;
j303_9,0.25,69,0.34;
j303_9,RND,66,0.35;
j3035_8,0.25,64,0.56;
j3035_8,RND,64,0.45;
j3018_9,0.25,51,0.31;
j3018_9,RND,51,0.31;
j3026_1,0.25,70,0.36;
j3026_1,RND,66,0.34;
j3029_2,0.25,94,0.61;
j3029_2,RND,85,0.58;
j3015_8,0.25,55,0.27;
j3015_8,RND,54,0.27;
j3024_3,0.25,70,0.32;
j3024_3,RND,70,0.34;
j3027_4,0.25,67,0.38;
j3027_4,RND,67,0.37;
j3042_8,0.25,84,0.46;
j3042_8,RND,84,0.45;
j3028_7,0.25,49,0.28;
j3028_7,RND,49,0.3;
j3038_9,0.25,58,0.41;
j3038_9,RND,58,0.39;
j3031_4,0.25,54,0.3;
j3031_4,RND,51,0.3;
j3010_1,0.25,44,0.31;
j3010_1,RND,44,0.29;
j307_5,0.25,45,0.28;
j307_5,RND,45,0.28;
j308_6,0.25,48,0.25;
j308_6,RND,48,0.26;
j3044_6,0.25,57,0.32;
j3044_6,RND,57,0.33;
j3047_1,0.25,71,0.37;
j3047_1,RND,71,0.39;
j3048_2,0.25,55,0.33;
j3048_2,RND,55,0.35;
j3017_10,0.25,67,0.39;
j3017_10,RND,67,0.4;
j304_2,0.25,61,0.29;
j304_2,RND,61,0.29;
j3032_3,0.25,58,0.32;
j3032_3,RND,58,0.38;
j3013_6,0.25,74,0.37;
j3013_6,RND,76,0.38;
j305_3,0.25,86,0.37;
j305_3,RND,78,0.41;
j3012_7,0.25,56,0.25;
j3012_7,RND,56,0.27;
j3033_2,0.25,76,0.39;
j3033_2,RND,76,0.41;
j3045_7,0.25,118,1.09;
j3045_7,RND,118,0.85;
j3033_10,0.25,58,0.85;
j3033_10,RND,58,0.4;
j3030_5,0.25,62,0.44;
j3030_5,RND,62,0.61;
j309_7,0.25,68,1.45;
j309_7,RND,73,0.83;
j306_4,0.25,47,0.26;
j306_4,RND,44,0.26;
j3039_8,0.25,71,0.45;
j3039_8,RND,71,0.43;
j3029_6,0.25,95,0.53;
j3029_6,RND,91,0.51;
j3043_9,0.25,59,0.37;
j3043_9,RND,59,0.35;
j3026_5,0.25,83,0.4;
j3026_5,RND,77,0.4;
j3025_2,0.25,77,0.47;
j3025_2,RND,75,0.47;
j3014_9,0.25,50,0.34;
j3014_9,RND,49,0.31;
j3047_10,0.25,62,0.41;
j3047_10,RND,62,0.4;
j3016_8,0.25,45,0.27;
j3016_8,RND,45,0.27;
j3027_3,0.25,62,0.36;
j3027_3,RND,62,0.36;
j3024_4,0.25,54,0.32;
j3024_4,RND,54,0.32;
j3041_8,0.25,100,0.59;
j3041_8,RND,84,0.58;
j304_5,0.25,60,0.29;
j304_5,RND,60,0.29;
j3032_4,0.25,69,0.3;
j3032_4,RND,69,0.31;
j3013_1,0.25,56,0.39;
j3013_1,RND,57,0.38;
j3048_5,0.25,59,0.34;
j3048_5,RND,59,0.33;
j3047_6,0.25,61,0.38;
j3047_6,RND,61,0.42;
j3044_1,0.25,51,0.35;
j3044_1,RND,51,0.56;
j3031_3,0.25,64,0.36;
j3031_3,RND,64,0.4;
j3010_6,0.25,46,0.26;
j3010_6,RND,46,0.26;
j308_1,0.25,45,0.24;
j308_1,RND,45,0.23;
j307_2,0.25,43,0.24;
j307_2,RND,43,0.24;
j3011_7,0.25,39,0.27;
j3011_7,RND,36,0.26;
