problemType, makespan, GRASP, diff
j1205_3, 72, 77, 5
j12020_1, 89, 99, 10
j12055_3, 126, 132, 6
j1203_10, 103, 104, 1
j12056_4, 221, 236, 15
j12033_8, 111, 119, 8
j12059_7, 112, 121, 9
j12023_6, 106, 110, 4
j12049_9, 97, 108, 11
j12018_10, 98, 113, 15
j1206_4, 153, 164, 11
j1209_7, 80, 87, 7
j12060_10, 89, 96, 7
j12025_8, 80, 86, 6
j12025_10, 92, 93, 1
j12040_4, 112, 121, 9
j12035_6, 86, 90, 4
j12014_3, 88, 96, 8
j12036_1, 210, 224, 14
j12017_4, 120, 130, 10
j12018_7, 118, 125, 7
j12039_2, 108, 129, 21
j12043_3, 95, 100, 5
j12042_2, 126, 140, 14
j12044_10, 98, 106, 8
j12038_3, 155, 161, 6
j12019_6, 90, 104, 14
j12016_5, 199, 211, 12
j12015_2, 75, 85, 10
j12034_7, 105, 120, 15
j12041_5, 138, 141, 3
j12024_9, 82, 82, 0
j12048_8, 116, 119, 3
j12022_7, 133, 143, 10
j1208_6, 85, 101, 16
j1207_5, 131, 140, 9
j12058_6, 140, 154, 14
j12032_9, 127, 133, 6
j12057_5, 179, 189, 10
j12054_2, 134, 137, 3
j1204_2, 107, 108, 1
j12059_3, 108, 126, 18
j12012_9, 105, 117, 12
j1209_3, 87, 102, 15
j12023_2, 116, 117, 1
j12020_5, 69, 77, 8
j12045_9, 114, 115, 1
j1205_7, 84, 85, 1
j12055_7, 105, 111, 6
j12018_3, 101, 106, 5
j12039_6, 95, 108, 13
j12053_9, 165, 190, 25
j12036_5, 228, 254, 26
j12046_10, 188, 207, 19
j1203_9, 86, 87, 1
j12029_8, 80, 85, 5
j12043_7, 122, 122, 0
j12035_2, 111, 131, 20
j12014_7, 90, 104, 14
j12015_6, 97, 100, 3
j12034_3, 101, 107, 6
j12041_1, 127, 126, -1
j12060_4, 103, 111, 8
j12027_10, 115, 136, 21
j1202_8, 83, 92, 9
j12042_6, 119, 122, 3
j12028_9, 98, 109, 11
j12016_1, 195, 208, 13
j12037_4, 162, 173, 11
j12052_8, 158, 173, 15
j12038_7, 105, 118, 13
j12019_2, 82, 95, 13
j12054_6, 108, 122, 14
j12044_8, 108, 110, 2
j12021_4, 135, 145, 10
j1204_6, 90, 92, 2
j1207_1, 102, 110, 8
j1208_2, 103, 121, 18
j12022_3, 96, 101, 5
j12057_1, 185, 208, 23
j12013_8, 93, 116, 23
j12058_2, 126, 138, 12
j1201_10, 108, 118, 10
j12056_1, 236, 254, 18
j12012_8, 119, 124, 5
j12059_2, 106, 112, 6
j1206_1, 144, 151, 7
j1209_2, 94, 98, 4
j12023_3, 99, 100, 1
j12045_8, 103, 104, 1
j12020_4, 89, 94, 5
j12023_10, 100, 102, 2
j1205_6, 88, 90, 2
j12055_6, 100, 105, 5
j12036_4, 235, 259, 24
j12017_1, 140, 148, 8
j12053_8, 139, 149, 10
j12018_2, 116, 133, 17
j12039_7, 104, 118, 14
j1205_10, 92, 93, 1
j1203_8, 77, 85, 8
j12043_6, 98, 95, -3
j12029_9, 97, 100, 3
j12040_1, 81, 89, 8
j12035_3, 77, 86, 9
j12014_6, 91, 96, 5
j12015_7, 75, 76, 1
j12034_2, 105, 121, 16
j12060_5, 104, 112, 8
j1202_9, 94, 105, 11
j12028_8, 99, 110, 11
j12042_7, 123, 132, 9
j12038_6, 122, 134, 12
j12019_3, 85, 87, 2
j12052_9, 150, 163, 13
j12037_5, 204, 219, 15
j12054_7, 111, 119, 8
j12021_5, 110, 106, -4
j12044_9, 91, 92, 1
j1204_7, 81, 84, 3
j1208_3, 95, 104, 9
j12022_2, 107, 115, 8
j12058_3, 120, 128, 8
j12013_9, 85, 95, 10
j12042_10, 118, 126, 8
j1205_2, 80, 81, 1
j12055_2, 83, 86, 3
j12040_10, 96, 101, 5
j12059_6, 115, 130, 15
j12033_9, 114, 123, 9
j12056_5, 279, 331, 52
j12049_8, 113, 121, 8
j12023_7, 104, 105, 1
j1209_6, 98, 112, 14
j1206_5, 125, 137, 12
j12040_5, 101, 105, 4
j12025_9, 94, 95, 1
j12038_10, 139, 149, 10
j12035_7, 99, 105, 6
j12014_2, 93, 105, 12
j12018_6, 134, 145, 11
j12039_3, 111, 121, 10
j12017_5, 129, 142, 13
j12043_2, 120, 124, 4
j12042_3, 106, 112, 6
j12059_10, 132, 140, 8
j1207_10, 117, 130, 13
j12016_4, 200, 203, 3
j12037_1, 145, 161, 16
j12038_2, 124, 135, 11
j12019_7, 93, 101, 8
j12015_3, 87, 93, 6
j12034_6, 100, 118, 18
j12024_8, 104, 105, 1
j12041_4, 116, 118, 2
j12060_1, 101, 103, 2
j12022_6, 103, 109, 6
j12048_9, 113, 123, 10
j1207_4, 112, 119, 7
j1208_7, 87, 102, 15
j12057_4, 199, 209, 10
j12032_8, 135, 144, 9
j12058_7, 147, 158, 11
j12054_3, 111, 122, 11
j1204_3, 95, 95, 0
j12021_1, 114, 125, 11
j12021_10, 102, 109, 7
j12014_9, 101, 112, 11
j12025_2, 108, 110, 2
j12043_9, 105, 109, 4
j12026_5, 153, 163, 10
j12029_6, 90, 98, 8
j12047_10, 132, 142, 10
j1203_7, 93, 95, 2
j12053_7, 118, 127, 9
j12039_8, 96, 108, 12
j12030_5, 83, 89, 6
j12055_9, 94, 96, 2
j1205_9, 106, 107, 1
j12045_7, 103, 104, 1
j12049_3, 96, 107, 11
j12033_2, 112, 122, 10
j12012_7, 120, 126, 6
j12013_6, 99, 113, 14
j12032_3, 145, 159, 14
j12048_2, 112, 117, 5
j12047_1, 137, 153, 16
j1204_8, 90, 91, 1
j12044_6, 106, 109, 3
j12054_8, 102, 110, 8
j12010_1, 111, 115, 4
j12031_4, 218, 233, 15
j12038_9, 134, 160, 26
j12052_6, 196, 217, 21
j12028_7, 109, 121, 12
j12027_4, 107, 115, 8
j12042_8, 113, 122, 9
j1202_6, 92, 92, 0
j12024_3, 89, 90, 1
j12015_8, 126, 130, 4
j12026_10, 183, 222, 39
j12051_1, 206, 239, 33
j1203_3, 100, 101, 1
j12029_2, 91, 93, 2
j12026_1, 169, 174, 5
j12018_9, 91, 96, 5
