projectName, alpha, makespan, duration;
j3021_1,100,RND,92,0.43
j3021_1,200,RND,87,0.84
j304_9,100,RND,39,0.21
j304_9,200,RND,39,0.43
j3032_8,100,RND,55,0.27
j3032_8,200,RND,55,0.53
j3048_9,100,RND,60,0.3
j3048_9,200,RND,60,0.6
j3022_6,100,RND,60,0.31
j3022_6,200,RND,60,0.62
j3024_8,100,RND,39,0.22
j3024_8,200,RND,39,0.48
j3041_4,100,RND,81,0.49
j3041_4,200,RND,80,0.95
j3034_6,100,RND,53,0.31
j3034_6,200,RND,52,0.65
j3015_3,100,RND,50,0.23
j3015_3,200,RND,50,0.51
j302_7,100,RND,49,0.27
j302_7,200,RND,48,0.5
j307_10,100,RND,52,0.26
j307_10,200,RND,52,0.52
j3010_10,100,RND,43,0.26
j3010_10,200,RND,43,0.51
j3019_7,100,RND,58,0.26
j3019_7,200,RND,58,0.53
j3038_2,100,RND,55,0.36
j3038_2,200,RND,54,0.74
j3037_1,100,RND,80,0.49
j3037_1,200,RND,84,0.99
j3016_4,100,RND,48,0.26
j3016_4,200,RND,48,0.51
j3042_3,100,RND,60,0.39
j3042_3,200,RND,69,0.79
j3043_2,100,RND,51,0.29
j3043_2,200,RND,51,0.6
j3017_5,100,RND,48,0.3
j3017_5,200,RND,48,0.58
j3039_3,100,RND,56,0.32
j3039_3,200,RND,55,0.63
j3018_6,100,RND,71,0.36
j3018_6,200,RND,64,0.71
j3014_2,100,RND,55,0.27
j3014_2,200,RND,56,0.53
j3035_7,100,RND,64,0.34
j3035_7,200,RND,64,0.69
j303_6,100,RND,55,0.26
j303_6,200,RND,55,0.53
j3040_5,100,RND,66,0.34
j3040_5,200,RND,66,0.69
j3034_10,100,RND,48,0.29
j3034_10,200,RND,48,0.54
j3025_9,100,RND,83,0.43
j3025_9,200,RND,79,0.86
j3023_7,100,RND,65,0.36
j3023_7,200,RND,65,0.71
j305_8,100,RND,68,0.36
j305_8,200,RND,68,0.74
j3033_9,100,RND,64,0.42
j3033_9,200,RND,64,1.27
j3013_9,100,RND,87,0.62
j3013_9,200,RND,80,0.9
j3022_2,100,RND,51,0.27
j3022_2,200,RND,48,0.51
j3021_5,100,RND,60,0.32
j3021_5,200,RND,60,0.63
j3044_9,100,RND,65,0.31
j3044_9,200,RND,65,0.62
j308_9,100,RND,40,0.21
j308_9,200,RND,40,0.43
j3037_5,100,RND,83,0.48
j3037_5,200,RND,85,0.84
j3019_3,100,RND,84,0.37
j3019_3,200,RND,84,0.75
j3038_6,100,RND,66,0.34
j3038_6,200,RND,65,0.69
j301_4,100,RND,63,0.29
j301_4,200,RND,63,0.59
j3042_7,100,RND,70,0.37
j3042_7,200,RND,70,0.75
j3028_8,100,RND,54,0.3
j3028_8,200,RND,54,0.61
j3036_10,100,RND,60,0.31
j3036_10,200,RND,60,0.62
j302_3,100,RND,46,0.22
j302_3,200,RND,46,0.44
j3034_2,100,RND,45,0.26
j3034_2,200,RND,45,0.52
j3015_7,100,RND,50,0.22
j3015_7,200,RND,48,0.44
j303_2,100,RND,41,0.21
j303_2,200,RND,41,0.41
j3014_6,100,RND,37,0.23
j3014_6,200,RND,38,0.46
j3035_3,100,RND,61,0.37
j3035_3,200,RND,63,0.74
j3040_1,100,RND,52,0.29
