projectName, makespan, duration;
j903_8,87,0.633544921875;
j9038_8,97,0.9220459461212158;
j9027_5,101,0.7437896728515625;
j9042_9,86,0.7776498794555664;
j9036_10,110,0.8172569274902344;
j9028_6,103,0.6874313354492188;
j9024_2,93,0.5625419616699219;
j9015_9,84,0.5546929836273193;
j909_2,111,0.7701520919799805;
j906_1,83,0.4968740940093994;
j9032_2,79,0.5398409366607666;
j9013_7,106,0.7423009872436523;
j9048_3,87,0.70670485496521;
j9044_7,94,0.8044371604919434;
j9031_5,80,0.6112749576568604;
j905_6,96,0.6058621406555176;
j9011_1,87,0.5306859016418457;
j9030_4,106,0.7607359886169434;
j904_7,81,0.4799079895019531;
j9045_6,141,1.2971150875091553;
j9046_1,109,0.8433399200439453;
j908_3,71,0.48911571502685547;
j9012_6,82,0.4816281795501709;
j9033_3,117,0.9304659366607666;
j9014_8,82,0.47912025451660156;
j9012_10,87,0.46169400215148926;
j9025_3,103,0.794651985168457;
j9029_7,127,1.0200440883636475;
j9043_8,102,0.7361829280853271;
j9026_4,104,0.619049072265625;
j904_10,69,0.43502283096313477;
j902_9,84,0.4668750762939453;
j9039_9,80,0.6309101581573486;
j9024_6,80,0.5785880088806152;
j9010_10,78,0.4775559902191162;
j9034_8,84,0.6291399002075195;
j9019_9,122,0.6935858726501465;
j906_10,97,0.5490391254425049;
j9028_2,78,0.6160409450531006;
j9027_1,98,0.5577290058135986;
j9044_3,112,0.7712810039520264;
j905_2,109,0.6665658950805664;
j9031_1,81,0.6150388717651367;
j9010_4,95,0.5811500549316406;
j9032_6,87,0.5779669284820557;
j9013_3,97,0.6771972179412842;
j906_5,73,0.48032712936401367;
j909_6,108,0.6668288707733154;
j9048_7,104,0.728370189666748;
j9022_8,98,0.6887049674987793;
j9047_4,94,0.6529068946838379;
j9046_5,93,0.6620311737060547;
j9023_9,127,0.7616608142852783;
j9012_2,72,0.48720669746398926;
j9033_7,110,0.7493882179260254;
j908_7,78,0.456315279006958;
j907_4,87,0.5147600173950195;
j904_3,68,0.44460201263427734;
j9011_5,83,0.5098929405212402;
j9045_2,110,1.0079388618469238;
j9034_10,102,0.6509113311767578;
j9029_3,114,0.8916449546813965;
j9018_8,94,0.6111509799957275;
j9035_9,77,0.651432991027832;
j9025_7,101,0.8854420185089111;
j9024_7,88,0.6022100448608398;
j9048_10,94,0.6298348903656006;
j9034_9,115,0.7507772445678711;
j9019_8,92,0.6174647808074951;
j9028_3,87,0.547476053237915;
j9044_2,93,0.6140999794006348;
j905_3,82,0.5668420791625977;
j9010_5,80,0.542809247970581;
j9032_7,88,0.5436930656433105;
j9013_2,99,0.6822290420532227;
j909_7,92,0.6171371936798096;
j906_4,83,0.5491728782653809;
j9047_5,96,0.6854372024536133;
j9022_9,109,0.6667699813842773;
j9030_10,94,0.6167271137237549;
j9048_6,115,0.7099320888519287;
j902_10,83,0.5026810169219971;
j9023_8,93,0.6028590202331543;
j9046_4,98,0.6954331398010254;
j9012_3,94,0.5004339218139648;
j9033_6,91,0.7550516128540039;
j907_5,81,0.5168230533599854;
j908_6,71,0.47922611236572266;
j904_2,90,0.48882007598876953;
j9014_10,86,0.4948239326477051;
j9011_4,66,0.42252683639526367;
j9030_1,105,0.7493817806243896;
j9045_3,134,1.1481409072875977;
j9029_2,98,0.8556637763977051;
j9026_1,93,0.6216120719909668;
j9018_9,81,0.5861990451812744;
j9029_10,108,0.7853677272796631;
j9035_8,86,0.6437680721282959;
j9025_6,103,0.7875950336456299;
j903_9,62,0.4670259952545166;
j9038_9,98,0.7317929267883301;
j9028_7,98,0.5951957702636719;
j9042_8,108,0.7385432720184326;
j9027_4,80,0.5397911071777344;
j9024_3,70,0.5434939861297607;
j9015_8,84,0.49347615242004395;
j909_3,89,0.6097869873046875;
j9032_3,90,0.6255099773406982;
j9013_6,103,0.6593852043151855;
j9048_2,90,0.6881611347198486;
j9047_1,83,0.6431910991668701;
j9044_6,97,0.6532778739929199;
j9031_4,82,0.6464211940765381;
j9010_1,81,0.5188977718353271;
j905_7,103,0.6330158710479736;
j9016_10,72,0.40293192863464355;
j9030_5,88,0.6328449249267578;
j904_6,79,0.4819610118865967;
j9045_7,108,1.187882900238037;
j9032_10,92,0.566917896270752;
j908_2,79,0.48079395294189453;
j907_1,89,0.45712900161743164;
j9012_7,78,0.5054929256439209;
j9033_2,115,0.8793323040008545;
j9014_9,113,0.5618979930877686;
j9025_2,118,0.8036131858825684;
j9026_5,89,0.5888488292694092;
j9043_9,90,0.7218348979949951;
j9029_6,93,0.8154571056365967;
j902_8,85,0.504296064376831;
j9039_8,86,0.6933939456939697;
j9022_6,74,0.5578548908233643;
j9048_9,91,0.6089720726013184;
j909_8,101,0.6894493103027344;
j9032_8,80,0.5746567249298096;
j9021_1,102,0.7667720317840576;
j9042_3,100,0.7630100250244141;
j907_10,99,0.5340437889099121;
j903_2,86,0.5364260673522949;
j9037_1,106,0.8211972713470459;
j9016_4,70,0.44771909713745117;
j9019_7,68,0.559359073638916;
j9038_2,82,0.6169350147247314;
j9034_6,91,0.6414391994476318;
j9015_3,84,0.46457505226135254;
j9011_10,82,0.45295190811157227;
j9041_4,121,1.2154741287231445;
j9024_8,89,0.6303708553314209;
j9025_9,100,0.7651982307434082;
j9040_5,93,0.6665458679199219;
j9014_2,83,0.4965639114379883;
j9035_7,81,0.6967098712921143;
j901_4,84,0.46797800064086914;
j902_3,76,0.45369911193847656;
j9035_10,83,0.6360580921173096;
j9039_3,84,0.6026549339294434;
j9018_6,88,0.6086649894714355;
j9017_5,116,0.7342841625213623;
j9043_2,94,0.689274787902832;
j908_9,98,0.5360901355743408;
j9033_9,94,0.7540497779846191;
j9023_7,79,0.5962522029876709;
j905_8,93,0.6147201061248779;
j9044_9,97,0.6470940113067627;
j9021_5,100,1.1334929466247559;
j9022_2,88,0.7360348701477051;
j9013_9,109,0.7230257987976074;
j9034_2,90,0.6305198669433594;
j9015_7,83,0.4646799564361572;
j9028_8,111,0.6241838932037354;
j9042_7,91,0.6384420394897461;
j9037_10,114,0.955359935760498;
j9019_3,91,0.6656839847564697;
j9038_6,89,0.6784980297088623;
j9037_5,129,1.02833890914917;
j903_6,69,0.42645692825317383;
j9017_1,95,0.6765320301055908;
j9036_4,80,0.6501600742340088;
j9039_7,86,0.6370029449462891;
j9018_2,95,0.6525790691375732;
j905_10,93,0.6317472457885742;
j902_7,93,0.5756239891052246;
j9043_6,116,0.7985811233520508;
j9029_9,98,1.0319750308990479;
j9040_1,96,0.8180100917816162;
j9013_10,85,0.7938899993896484;
j9014_6,81,0.5074150562286377;
j9035_3,98,0.7067821025848389;
j9012_8,84,0.4815361499786377;
j9023_3,117,0.7205379009246826;
j9020_4,87,0.5760982036590576;
j9045_8,126,1.0830190181732178;
j904_9,80,0.47811079025268555;
j905_9,116,0.6967573165893555;
j9021_4,101,0.7573692798614502;
j9044_8,100,0.6338319778442383;
j9017_10,92,0.6153378486633301;
j9022_3,86,0.5931117534637451;
j9013_8,79,0.630770206451416;
j901_10,99,0.5796089172363281;
j9034_3,83,0.6273837089538574;
j9015_6,63,0.4287569522857666;
j9041_1,117,1.0309412479400635;
j9042_6,91,0.693115234375;
j9028_9,121,0.7300889492034912;
j9037_4,119,0.9623119831085205;
j9016_1,86,0.5464680194854736;
j9019_2,84,0.5890469551086426;
j9038_7,88,0.6599099636077881;
j903_7,88,0.46329212188720703;
j9039_6,103,0.6929471492767334;
j9018_3,86,0.5990269184112549;
j9036_5,99,0.7039918899536133;
j902_6,68,0.49010586738586426;
j9029_8,116,0.9692578315734863;
j9043_7,90,0.6461048126220703;
j901_1,80,0.5049049854278564;
j9014_7,87,0.5562570095062256;
j9035_2,93,0.628648042678833;
j9033_10,123,0.7453699111938477;
j9012_9,78,0.44336700439453125;
j9023_2,85,0.6931781768798828;
j9045_9,117,1.1049859523773193;
j9020_5,89,0.6070430278778076;
j904_8,70,0.48363685607910156;
j9048_8,75,0.6223840713500977;
j9022_7,95,0.599478006362915;
j909_9,101,0.6959102153778076;
j9031_10,101,0.6875629425048828;
j9032_9,96,0.6305348873138428;
j9042_2,98,0.7322938442230225;
j903_3,74,0.4421980381011963;
j9019_6,137,0.8084568977355957;
j9038_3,97,0.6524608135223389;
j9016_5,72,0.451458215713501;
j9034_7,94,0.6765072345733643;
j9015_2,72,0.44342684745788574;
j9024_9,81,0.5288619995117188;
j9041_5,107,0.929405927658081;
j9040_4,108,0.6881239414215088;
j9025_8,124,0.9753079414367676;
j9014_3,96,0.4942820072174072;
j9035_6,73,0.5776219367980957;
j901_5,96,0.5674641132354736;
j902_2,119,0.6286070346832275;
j9017_4,98,0.7020430564880371;
j9036_1,98,0.7370419502258301;
j9039_2,120,0.7531020641326904;
j9018_7,74,0.5901739597320557;
j9043_3,104,0.7974348068237305;
j9028_10,69,0.6717870235443115;
j9015_10,84,0.4780080318450928;
j9020_1,86,0.5926930904388428;
