projectName, makespan, duration;
j6014_5,60,0.18751978874206543;
j6040_2,82,0.2717270851135254;
j6026_9,70,0.26074886322021484;
j6043_5,67,0.26297593116760254;
j601_7,68,0.23209786415100098;
j6039_4,94,0.3329801559448242;
j6018_1,87,0.2992551326751709;
j6017_2,77,0.27660202980041504;
j6036_7,73,0.2735860347747803;
j6030_9,104,0.3355751037597656;
j607_9,46,0.16950201988220215;
j6020_7,77,0.25418901443481445;
j6046_10,84,0.3141210079193115;
j6027_10,58,0.20376300811767578;
j6022_1,66,0.231032133102417;
j6021_6,79,0.34429311752319336;
j6031_8,76,0.23221206665039062;
j606_8,79,0.24140214920043945;
j6037_6,89,0.4146881103515625;
j6016_3,54,0.2003340721130371;
j6038_5,109,0.37247800827026367;
j6042_4,105,0.42136502265930176;
j6027_8,95,0.2844240665435791;
j6041_3,71,0.4076850414276123;
j6034_1,75,0.2721230983734131;
j6015_4,76,0.20153212547302246;
j603_1,62,0.1889040470123291;
j6043_1,110,0.37689995765686035;
j6017_6,73,0.2919728755950928;
j6036_3,82,0.28389906883239746;
j6018_5,84,0.2463669776916504;
j601_3,74,0.24755573272705078;
j602_4,79,0.23257017135620117;
j6014_1,64,0.1890699863433838;
j6035_4,75,0.2685098648071289;
j6018_10,98,0.2861487865447998;
j6040_6,71,0.2839179039001465;
j6023_4,86,0.2658271789550781;
j6046_8,78,0.2853860855102539;
j6025_10,89,0.33786606788635254;
j6011_8,70,0.22254300117492676;
j6020_3,71,0.23465490341186523;
j6021_2,110,0.4129936695098877;
j6044_10,66,0.2564280033111572;
j6010_9,76,0.22834324836730957;
j6047_9,77,0.2781248092651367;
j6022_5,79,0.25191807746887207;
j6041_7,112,0.5343070030212402;
j603_5,85,0.22565102577209473;
j6034_5,82,0.2977120876312256;
j6019_4,68,0.262099027633667;
j609_10,80,0.30835390090942383;
j6038_1,79,0.2892138957977295;
j6037_2,87,0.36465907096862793;
j6016_7,84,0.2118358612060547;
j6039_1,82,0.28899288177490234;
j6018_4,72,0.23383402824401855;
j6017_7,95,0.34257984161376953;
j6036_2,76,0.2715921401977539;
j601_2,75,0.19744277000427246;
j602_5,54,0.19203686714172363;
j6035_5,81,0.25153303146362305;
j6040_7,69,0.26213908195495605;
j6040_10,75,0.23877811431884766;
j6038_10,67,0.2602510452270508;
j6046_9,69,0.26816391944885254;
j6023_5,75,0.24556422233581543;
j6011_9,63,0.22294902801513672;
j6020_2,79,0.26693081855773926;
j6021_3,86,0.36063170433044434;
j6010_8,70,0.22510576248168945;
j6022_4,74,0.27306699752807617;
j6047_8,77,0.27557802200317383;
j6041_6,110,0.47668886184692383;
j603_4,86,0.23458218574523926;
j6034_4,84,0.2909660339355469;
j6015_1,87,0.23568272590637207;
j6037_3,118,0.5589468479156494;
j6016_6,67,0.19944977760314941;
j6019_5,75,0.23696517944335938;
j6021_10,70,0.2938802242279053;
j6042_1,86,0.2874467372894287;
j6014_4,68,0.20473504066467285;
j6035_1,80,0.25806617736816406;
j602_1,68,0.2202308177947998;
j6040_3,71,0.2762789726257324;
j6043_4,79,0.27589988708496094;
j6026_8,94,0.30809807777404785;
j601_6,60,0.2184309959411621;
j6023_10,69,0.2263031005859375;
j6017_3,95,0.3124361038208008;
j6036_6,78,0.28010010719299316;
j6039_5,76,0.2681152820587158;
j6030_8,66,0.23013567924499512;
j607_8,67,0.20320796966552734;
j6020_6,98,0.33069610595703125;
j6023_1,76,0.24058198928833008;
j6021_7,102,0.4166560173034668;
j6031_9,87,0.27549099922180176;
j606_9,66,0.2198801040649414;
j6019_1,67,0.22778606414794922;
j6038_4,61,0.2651362419128418;
j6037_7,98,0.44045495986938477;
j6016_2,65,0.18954801559448242;
j6027_9,79,0.2535529136657715;
j6042_5,75,0.2857358455657959;
j6041_2,100,0.39647912979125977;
j6042_10,91,0.3483901023864746;
j6015_5,73,0.20783710479736328;
j6045_1,83,0.3841390609741211;
j6011_6,71,0.20158004760742188;
j6030_3,86,0.2837178707122803;
j607_3,63,0.1995699405670166;
j604_4,67,0.19834685325622559;
j6012_1,60,0.1995868682861328;
j6033_4,80,0.3089311122894287;
j6046_6,94,0.3460841178894043;
j6024_10,67,0.21511483192443848;
j6040_8,81,0.2703258991241455;
j6025_4,99,0.38770604133605957;
j6019_10,82,0.2455461025238037;
j6017_8,87,0.32202696800231934;
j6026_3,74,0.2885429859161377;
j6027_2,78,0.26787614822387695;
j6028_1,94,0.27797412872314453;
j608_10,98,0.3055601119995117;
j6016_9,55,0.18941497802734375;
j6024_5,78,0.26612401008605957;
j6041_9,107,0.5460519790649414;
j6047_7,71,0.27628111839294434;
j6048_4,63,0.252180814743042;
j605_5,105,0.3113698959350586;
j6032_5,79,0.25582313537597656;
j6031_2,76,0.24475884437561035;
j6010_7,74,0.24322009086608887;
j6045_10,83,0.4891207218170166;
j609_1,71,0.3160710334777832;
j606_2,71,0.2098381519317627;
j6012_5,64,0.21535205841064453;
j6046_2,83,0.33818602561950684;
j6045_5,80,0.43649816513061523;
j6020_9,75,0.23496603965759277;
j608_4,65,0.19386911392211914;
j607_7,91,0.27286601066589355;
j6011_2,62,0.20437097549438477;
j6030_7,84,0.2978861331939697;
j6047_10,73,0.27977705001831055;
j6036_9,87,0.3061497211456299;
j601_9,95,0.26998400688171387;
j6026_7,74,0.27184009552001953;
j6029_4,96,0.5053901672363281;
j6024_1,66,0.23455214500427246;
j6028_5,72,0.2511482238769531;
j6027_6,65,0.2630140781402588;
j6037_8,96,0.43527913093566895;
j606_6,59,0.21442389488220215;
j609_5,69,0.2981269359588623;
j6031_6,74,0.25075721740722656;
j6010_3,75,0.27115392684936523;
j6021_8,101,0.4703700542449951;
j6044_4,78,0.3019859790802002;
j6026_10,86,0.3272697925567627;
j6047_3,74,0.28807902336120605;
j6032_1,70,0.24370098114013672;
j6013_4,79,0.28469300270080566;
j605_1,80,0.25481605529785156;
j6012_4,70,0.2183218002319336;
j6033_1,112,0.36687397956848145;
j604_1,85,0.21504902839660645;
j6046_3,86,0.32015180587768555;
j6020_8,66,0.23256611824035645;
