projectName, makespan, duration;
j3021_1,78,0.10435295104980469;
j304_9,39,0.05480027198791504;
j3032_8,55,0.06616878509521484;
j3048_9,62,0.07879304885864258;
j3022_6,57,0.08048272132873535;
j3024_8,39,0.05569887161254883;
j3041_4,60,0.11412501335144043;
j3034_6,53,0.0759420394897461;
j3015_3,51,0.058756113052368164;
j302_7,50,0.06257987022399902;
j307_10,47,0.0630650520324707;
j3010_10,42,0.06757616996765137;
j3019_7,55,0.06623077392578125;
j3038_2,55,0.10552024841308594;
j3037_1,54,0.12468481063842773;
j3016_4,48,0.06809806823730469;
j3042_3,58,0.12865924835205078;
j3043_2,47,0.08272385597229004;
j3017_5,43,0.07646369934082031;
j3039_3,56,0.07824420928955078;
j3018_6,54,0.0877223014831543;
j3014_2,53,0.07065391540527344;
j3035_7,66,0.0876009464263916;
j303_6,56,0.06811809539794922;
j3040_5,68,0.09198403358459473;
j3034_10,50,0.06699395179748535;
j3025_9,66,0.1261429786682129;
j3023_7,64,0.11385083198547363;
j305_8,58,0.09844803810119629;
j3033_9,64,0.11245393753051758;
j3013_9,65,0.14471101760864258;
j3022_2,50,0.075469970703125;
j3021_5,54,0.09982013702392578;
j3044_9,67,0.1136929988861084;
j308_9,40,0.08268499374389648;
j3037_5,70,0.11878418922424316;
j3019_3,84,0.09248208999633789;
j3038_6,67,0.08999300003051758;
j301_4,66,0.07478499412536621;
j3042_7,68,0.09212994575500488;
j3028_8,54,0.0757288932800293;
j3036_10,61,0.07861495018005371;
j302_3,47,0.05377507209777832;
j3034_2,48,0.06850409507751465;
j3015_7,49,0.05636096000671387;
j303_2,42,0.058769941329956055;
j3014_6,36,0.061662912368774414;
j3035_3,61,0.09370684623718262;
j3040_1,54,0.07288408279418945;
j3029_9,70,0.14197993278503418;
j3043_6,61,0.08245086669921875;
j3039_7,51,0.0964200496673584;
j3018_2,58,0.07042694091796875;
j3017_1,60,0.0850679874420166;
j3036_4,60,0.08136606216430664;
j305_10,68,0.08810997009277344;
j3012_10,58,0.06314420700073242;
j309_8,73,0.11158990859985352;
j3045_8,74,0.12062406539916992;
j3020_4,44,0.06184077262878418;
j3023_3,49,0.06494688987731934;
j3012_8,36,0.05805373191833496;
j3013_8,69,0.12950706481933594;
j301_10,48,0.05996394157409668;
j3016_10,52,0.0643010139465332;
j3022_3,65,0.07948493957519531;
j3044_8,50,0.0687398910522461;
j3021_4,65,0.09861612319946289;
j308_8,53,0.06357002258300781;
j3019_2,59,0.07476520538330078;
j3038_7,65,0.10399818420410156;
j3037_4,68,0.13112998008728027;
j3016_1,53,0.06266903877258301;
j301_5,38,0.05784106254577637;
j3028_9,67,0.07652616500854492;
j3042_6,65,0.09105896949768066;
j3041_1,69,0.12916898727416992;
j302_2,50,0.06825113296508789;
j3034_3,66,0.10097622871398926;
j3015_6,74,0.07787919044494629;
j303_3,59,0.070343017578125;
j3014_7,51,0.06900310516357422;
j3035_2,55,0.08007979393005371;
j3043_7,57,0.08322525024414062;
j3029_8,65,0.11847233772277832;
j3036_5,66,0.08413004875183105;
j3039_6,63,0.09827709197998047;
j3018_3,56,0.08102297782897949;
j309_9,51,0.0930781364440918;
j3020_5,64,0.0859839916229248;
j3032_10,52,0.06864309310913086;
j3045_9,65,0.13236594200134277;
j3023_2,56,0.0815739631652832;
j3012_9,54,0.060813188552856445;
j3030_10,52,0.07656311988830566;
j304_8,56,0.06472206115722656;
j3032_9,66,0.07854390144348145;
j3022_7,59,0.08895707130432129;
j3048_8,47,0.07892799377441406;
j3041_5,75,0.12454819679260254;
j3024_9,44,0.055979013442993164;
j3034_7,55,0.0845177173614502;
j3015_2,48,0.07309484481811523;
j302_6,51,0.06805300712585449;
j301_1,44,0.05969405174255371;
j3016_5,52,0.06105184555053711;
j3019_6,51,0.07208609580993652;
j3038_3,58,0.09240484237670898;
j3042_2,51,0.07406783103942871;
j3048_10,55,0.07430720329284668;
j3043_3,61,0.09075188636779785;
j3039_2,55,0.08141183853149414;
j3018_7,55,0.06555008888244629;
j3017_4,54,0.07942509651184082;
j3036_1,67,0.09526300430297852;
j3014_3,65,0.07054591178894043;
j3029_10,70,0.10277485847473145;
j3035_6,62,0.0821230411529541;
j303_7,52,0.0704488754272461;
j3025_8,54,0.11232280731201172;
j3040_4,59,0.07489299774169922;
j3023_6,52,0.06849098205566406;
j303_10,60,0.0700838565826416;
j305_9,46,0.07324695587158203;
j3014_10,66,0.0665290355682373;
j3033_8,64,0.09540581703186035;
j3020_1,58,0.0719449520111084;
j3037_10,67,0.1215207576751709;
j3015_9,55,0.061239004135131836;
j3024_2,60,0.07931995391845703;
j3028_6,57,0.06602191925048828;
j3042_9,62,0.09304189682006836;
j3027_5,52,0.0719759464263916;
j3038_8,59,0.09096717834472656;
j3031_5,53,0.07223701477050781;
j308_7,42,0.05445599555969238;
j307_4,45,0.05367326736450195;
j3044_7,45,0.05859208106994629;
j3048_3,51,0.07434391975402832;
j304_3,48,0.05525779724121094;
j3032_2,61,0.07253313064575195;
j3013_7,62,0.10083508491516113;
j305_2,68,0.09525799751281738;
j3012_6,56,0.06233096122741699;
j3033_3,50,0.0811929702758789;
j3046_1,61,0.10779905319213867;
j3045_6,88,0.15924382209777832;
j3011_1,57,0.07053375244140625;
j3030_4,54,0.08747100830078125;
j306_5,60,0.08958578109741211;
j309_6,60,0.0812680721282959;
j3039_9,65,0.09072113037109375;
j3026_4,64,0.09237504005432129;
j3043_8,69,0.08921480178833008;
j3029_7,58,0.10957193374633789;
j3013_10,58,0.08750009536743164;
j304_10,49,0.05754494667053223;
j3025_3,58,0.11808419227600098;
j3014_8,55,0.06668996810913086;
j3011_10,41,0.05261707305908203;
j306_10,62,0.0771949291229248;
j3027_1,46,0.06547093391418457;
j3028_2,59,0.08044004440307617;
j3019_9,40,0.05233311653137207;
j302_9,61,0.07027888298034668;
j3034_8,64,0.0888981819152832;
j3024_6,57,0.07367610931396484;
j3047_4,50,0.0739290714263916;
j3022_8,54,0.08048796653747559;
j3048_7,56,0.07293009757995605;
j3032_6,45,0.061959028244018555;
j3013_3,62,0.09755587577819824;
j304_7,57,0.06206393241882324;
j308_3,54,0.06244015693664551;
j3031_1,44,0.06996822357177734;
j3010_4,56,0.07650876045227051;
j3044_3,52,0.07304883003234863;
j3045_2,81,0.1658937931060791;
j309_2,65,0.10729193687438965;
j306_1,59,0.07504677772521973;
j3011_5,52,0.07321786880493164;
