projectName, it, alpha, makespan, duration;
j3016_6,100,0.25,52,0.62
j3016_6,100,0.5,52,0.62
j3016_6,100,0.75,52,0.62
j3016_6,100,RND,52,24.97
j3016_6,200,0.25,52,1.8
j3016_6,200,0.5,52,1.79
j3016_6,200,0.75,52,1.72
j3016_6,200,RND,52,2.0
j306_6,100,0.25,43,0.62
j306_6,100,0.5,38,0.62
j306_6,100,0.75,38,0.6
j306_6,100,RND,38,0.59
j306_6,200,0.25,43,1.25
j306_6,200,0.5,38,1.22
j306_6,200,0.75,38,1.18
j306_6,200,RND,36,1.19
j301_3,100,0.25,52,0.67
j301_3,100,0.5,52,0.7
j301_3,100,0.75,48,0.69
j301_3,100,RND,52,0.7
j301_3,200,0.25,52,1.35
j301_3,200,0.5,52,2.44
j301_3,200,0.75,48,1.47
j301_3,200,RND,44,1.36
j3032_5,100,0.25,55,0.6
j3032_5,100,0.5,55,0.61
j3032_5,100,0.75,55,0.64
j3032_5,100,RND,55,0.6
j3032_5,200,0.25,55,1.21
j3032_5,200,0.5,55,1.19
j3032_5,200,0.75,55,1.22
j3032_5,200,RND,55,1.19
j3041_6,100,0.25,115,1.27
j3041_6,100,0.5,115,1.26
j3041_6,100,0.75,114,1.29
j3041_6,100,RND,115,1.28
j3041_6,200,0.25,115,2.58
j3041_6,200,0.5,115,2.61
j3041_6,200,0.75,114,2.59
j3041_6,200,RND,113,2.57
j3013_5,100,0.25,72,1.02
j3013_5,100,0.5,72,0.98
j3013_5,100,0.75,69,0.97
j3013_5,100,RND,69,0.98
j3013_5,200,0.25,72,1.94
j3013_5,200,0.5,70,1.96
j3013_5,200,0.75,67,1.94
j3013_5,200,RND,69,1.97
j3031_6,100,0.25,58,0.66
j3031_6,100,0.5,55,0.66
j3031_6,100,0.75,55,0.65
j3031_6,100,RND,55,0.66
j3031_6,200,0.25,58,1.35
j3031_6,200,0.5,55,1.34
j3031_6,200,0.75,54,1.32
j3031_6,200,RND,54,1.32
j3026_3,100,0.25,69,0.75
j3026_3,100,0.5,67,0.74
j3026_3,100,0.75,60,0.79
j3026_3,100,RND,60,0.85
j3026_3,200,0.25,69,1.52
j3026_3,200,0.5,67,1.49
j3026_3,200,0.75,60,1.49
j3026_3,200,RND,60,1.49
j307_8,100,0.25,44,0.52
j307_8,100,0.5,44,0.51
j307_8,100,0.75,44,0.51
j307_8,100,RND,44,0.52
j307_8,200,0.25,44,1.02
j307_8,200,0.5,44,1.02
j307_8,200,0.75,44,1.02
j307_8,200,RND,44,1.03
j3029_4,100,0.25,107,1.27
j3029_4,100,0.5,107,1.25
j3029_4,100,0.75,107,1.25
j3029_4,100,RND,107,1.26
j3029_4,200,0.25,107,2.54
j3029_4,200,0.5,107,2.5
j3029_4,200,0.75,104,2.51
j3029_4,200,RND,107,2.54
j3028_5,100,0.25,74,0.73
j3028_5,100,0.5,74,0.73
j3028_5,100,0.75,74,0.73
j3028_5,100,RND,74,0.73
j3028_5,200,0.25,74,1.46
j3028_5,200,0.5,74,1.47
j3028_5,200,0.75,74,1.47
j3028_5,200,RND,74,1.46
j3041_10,100,0.25,97,1.38
j3041_10,100,0.5,97,1.45
j3041_10,100,0.75,97,1.43
j3041_10,100,RND,97,1.4
j3041_10,200,0.25,97,2.82
j3041_10,200,0.5,97,2.92
j3041_10,200,0.75,97,2.89
j3041_10,200,RND,97,2.81
j304_8,100,0.25,56,0.56
j304_8,100,0.5,56,0.69
j304_8,100,0.75,56,0.93
j304_8,100,RND,56,3.75
j304_8,200,0.25,56,3.09
j304_8,200,0.5,56,1.36
j304_8,200,0.75,56,1.34
j304_8,200,RND,56,1.29
j3014_6,100,0.25,39,0.66
j3014_6,100,0.5,39,0.68
j3014_6,100,0.75,37,0.65
j3014_6,100,RND,37,0.67
