projectName, alpha, makespan, duration;
j903_7,200,0.5,89,4.23
j903_7,200,0.75,89,4.3
j903_7,200,RND,89,4.32
j9020_1,100,0.25,86,2.59
j9020_1,100,0.5,86,2.63
j9020_1,100,0.75,86,2.69
j9020_1,100,RND,86,2.67
j9020_1,200,0.25,86,5.53
j9020_1,200,0.5,86,5.32
j9020_1,200,0.75,86,5.46
j9020_1,200,RND,86,5.4
j9015_10,100,0.25,83,2.08
j9015_10,100,0.5,83,2.13
j9015_10,100,0.75,82,2.14
j9015_10,100,RND,83,2.09
j9015_10,200,0.25,83,4.49
j9015_10,200,0.5,83,4.29
j9015_10,200,0.75,82,4.27
j9015_10,200,RND,83,4.26
j9012_5,100,0.25,84,2.3
j9012_5,100,0.5,84,2.36
j9012_5,100,0.75,84,2.28
j9012_5,100,RND,84,2.29
j9012_5,200,0.25,84,4.61
j9012_5,200,0.5,84,4.85
j9012_5,200,0.75,84,4.69
j9012_5,200,RND,84,4.79
j9025_5,100,0.25,119,3.61
j9025_5,100,0.5,118,3.63
j9025_5,100,0.75,118,3.6
j9025_5,100,RND,117,3.58
j9025_5,200,0.25,116,10.27
j9025_5,200,0.5,111,19.45
j9025_5,200,0.75,119,7.6
j9025_5,200,RND,120,7.11
j9033_3,100,0.25,117,9.82
j9033_3,100,0.5,117,7.26
j9033_3,100,0.75,117,4.31
j9033_3,100,RND,117,4.14
j9033_3,200,0.25,117,8.0
j9033_3,200,0.5,117,7.97
j9033_3,200,0.75,117,8.02
j9033_3,200,RND,117,10.25
j9038_6,100,0.25,94,4.24
j9038_6,100,0.5,91,5.14
j9038_6,100,0.75,89,4.05
j9038_6,100,RND,92,4.11
j9038_6,200,0.25,94,7.72
j9038_6,200,0.5,91,6.32
j9038_6,200,0.75,91,6.23
j9038_6,200,RND,91,6.06
j907_2,100,0.25,78,2.28
j907_2,100,0.5,78,2.41
j907_2,100,0.75,78,2.35
j907_2,100,RND,78,2.34
j907_2,200,0.25,78,4.97
j907_2,200,0.5,78,4.71
j907_2,200,0.75,78,4.6
j907_2,200,RND,78,5.07
j9022_9,100,0.25,111,4.27
j9022_9,100,0.5,110,3.54
j9022_9,100,0.75,110,3.62
j9022_9,100,RND,112,3.3
j9022_9,200,0.25,111,5.8
j9022_9,200,0.5,110,5.93
j9022_9,200,0.75,109,6.11
j9022_9,200,RND,105,6.05
j9030_3,100,0.25,106,3.06
j9030_3,100,0.5,106,2.84
j9030_3,100,0.75,106,2.82
j9030_3,100,RND,105,2.87
j9030_3,200,0.25,107,5.7
j9030_3,200,0.5,104,5.75
j9030_3,200,0.75,104,6.69
j9030_3,200,RND,105,5.84
j9020_7,100,0.25,83,2.83
j9020_7,100,0.5,83,2.82
j9020_7,100,0.75,83,2.9
j9020_7,100,RND,83,2.75
j9020_7,200,0.25,83,5.48
j9020_7,200,0.5,83,5.61
j9020_7,200,0.75,83,5.58
j9020_7,200,RND,83,5.47
j9018_3,100,0.25,84,3.66
j9018_3,100,0.5,84,2.76
j9018_3,100,0.75,85,2.83
j9018_3,100,RND,85,2.8
j9018_3,200,0.25,85,5.41
j9018_3,200,0.5,85,5.38
j9018_3,200,0.75,84,5.8
j9018_3,200,RND,84,5.62
j9019_6,100,0.25,140,3.93
j9019_6,100,0.5,137,3.59
j9019_6,100,0.75,137,3.7
j9019_6,100,RND,137,7.03
j9019_6,200,0.25,140,10.07
j9019_6,200,0.5,137,7.05
j9019_6,200,0.75,137,7.18
