projectName, alpha, makespan, duration;
j6013_1,100,0.25,123,2.31
j6013_1,100,0.5,119,1.78
j6013_1,100,0.75,124,2.24
j6013_1,100,RND,123,1.94
j6013_1,200,0.25,123,2.83
j6013_1,200,0.5,118,3.6
j6013_1,200,0.75,117,2.91
j6013_1,200,RND,119,3.61
j6020_7,100,0.25,75,1.41
j6020_7,100,0.5,75,1.08
j6020_7,100,0.75,75,1.16
j6020_7,100,RND,75,0.98
j6020_7,200,0.25,75,2.55
j6020_7,200,0.5,75,2.89
j6020_7,200,0.75,75,2.39
j6020_7,200,RND,75,2.96
j6020_1,100,0.25,61,1.06
j6020_1,100,0.5,61,0.94
j6020_1,100,0.75,61,0.91
j6020_1,100,RND,61,0.85
j6020_1,200,0.25,61,1.62
j6020_1,200,0.5,61,1.68
j6020_1,200,0.75,61,2.06
j6020_1,200,RND,61,1.8
j6032_1,100,0.25,70,0.92
j6032_1,100,0.5,70,0.99
j6032_1,100,0.75,70,1.08
j6032_1,100,RND,70,1.07
j6032_1,200,0.25,70,2.24
j6032_1,200,0.5,70,2.65
j6032_1,200,0.75,70,1.96
j6032_1,200,RND,70,1.85
j6023_6,100,0.25,84,1.02
j6023_6,100,0.5,82,1.36
j6023_6,100,0.75,82,2.03
j6023_6,100,RND,83,1.43
j6023_6,200,0.25,84,2.2
j6023_6,200,0.5,82,2.08
j6023_6,200,0.75,82,2.09
j6023_6,200,RND,82,2.71
j608_9,100,0.25,59,0.85
j608_9,100,0.5,59,0.95
j608_9,100,0.75,59,0.9
j608_9,100,RND,59,0.91
j608_9,200,0.25,59,1.64
j608_9,200,0.5,59,3.55
j608_9,200,0.75,59,3.64
j608_9,200,RND,59,3.7
j6016_8,100,0.25,69,1.02
j6016_8,100,0.5,69,1.05
j6016_8,100,0.75,69,0.99
j6016_8,100,RND,69,0.93
j6016_8,200,0.25,69,2.02
j6016_8,200,0.5,69,3.47
j6016_8,200,0.75,69,4.06
j6016_8,200,RND,69,9.32
j6016_4,100,0.25,61,3.7
j6016_4,100,0.5,61,1.14
j6016_4,100,0.75,61,0.86
j6016_4,100,RND,61,0.89
j6016_4,200,0.25,61,1.96
j6016_4,200,0.5,61,2.91
j6016_4,200,0.75,61,2.63
