projectName, it, alpha, makespan, duration;
j12040_1,200,0.25,89,8.52
j12040_1,200,0.5,89,8.46
j12040_1,200,0.75,92,8.45
j12040_1,200,RND,89,8.53
j12036_2,100,0.25,238,8.7
j12036_2,100,0.5,239,8.63
j12036_2,100,0.75,244,8.56
j12036_2,100,RND,243,8.73
j12036_2,200,0.25,232,17.33
j12036_2,200,0.5,237,17.36
j12036_2,200,0.75,237,17.13
j12036_2,200,RND,239,17.33
j12011_4,100,0.25,216,6.56
j12011_4,100,0.5,215,6.58
j12011_4,100,0.75,218,6.56
j12011_4,100,RND,213,6.57
j12011_4,200,0.25,214,13.13
j12011_4,200,0.5,208,13.15
j12011_4,200,0.75,214,13.12
j12011_4,200,RND,203,13.17
j12022_3,100,0.25,104,4.57
j12022_3,100,0.5,101,4.51
j12022_3,100,0.75,100,4.59
j12022_3,100,RND,102,4.53
j12022_3,200,0.25,100,9.07
j12022_3,200,0.5,99,8.98
j12022_3,200,0.75,100,9.14
j12022_3,200,RND,100,9.11
j12058_6,100,0.25,154,6.78
j12058_6,100,0.5,156,6.74
j12058_6,100,0.75,155,6.76
j12058_6,100,RND,156,6.74
j12058_6,200,0.25,155,13.5
j12058_6,200,0.5,155,13.46
j12058_6,200,0.75,155,13.62
j12058_6,200,RND,156,13.51
j1202_3,100,0.25,103,3.52
j1202_3,100,0.5,104,3.54
j1202_3,100,0.75,101,3.56
j1202_3,100,RND,105,3.54
j1202_3,200,0.25,99,7.15
j1202_3,200,0.5,99,7.04
j1202_3,200,0.75,103,7.44
j1202_3,200,RND,102,7.06
j12049_9,100,0.25,111,5.34
j12049_9,100,0.5,112,5.37
j12049_9,100,0.75,110,7.88
j12049_9,100,RND,110,7.47
j12049_9,200,0.25,110,12.53
j12049_9,200,0.5,108,12.47
j12049_9,200,0.75,109,12.38
j12049_9,200,RND,108,12.48
j12025_8,100,0.25,86,4.51
j12025_8,100,0.5,86,4.65
j12025_8,100,0.75,86,4.77
j12025_8,100,RND,86,4.85
j12025_8,200,0.25,86,9.7
j12025_8,200,0.5,86,9.41
j12025_8,200,0.75,86,9.34
j12025_8,200,RND,85,9.42
j12060_10,100,0.25,98,5.77
j12060_10,100,0.5,98,5.82
j12060_10,100,0.75,96,5.5
j12060_10,100,RND,95,5.55
j12060_10,200,0.25,96,11.29
j12060_10,200,0.5,96,11.4
j12060_10,200,0.75,97,11.13
j12060_10,200,RND,96,11.32
j12044_8,100,0.25,110,6.37
j12044_8,100,0.5,111,6.43
j12044_8,100,0.75,113,6.38
j12044_8,100,RND,110,6.26
j12044_8,200,0.25,110,12.73
j12044_8,200,0.5,111,12.69
j12044_8,200,0.75,113,13.62
j12044_8,200,RND,110,11.22
j12060_2,100,0.25,94,4.72
j12060_2,100,0.5,93,4.7
j12060_2,100,0.75,95,4.69
j12060_2,100,RND,95,4.7
j12060_2,200,0.25,92,9.41
j12060_2,200,0.5,93,11.13
j12060_2,200,0.75,94,10.73
j12060_2,200,RND,94,10.74
j12045_2,100,0.25,92,5.36
j12045_2,100,0.5,92,5.44
j12045_2,100,0.75,92,5.43
j12045_2,100,RND,92,5.46
j12045_2,200,0.25,92,10.69
j12045_2,200,0.5,92,10.8
j12045_2,200,0.75,92,10.79
j12045_2,200,RND,92,13.75
j1201_1,100,0.25,116,6.78
j1201_1,100,0.5,112,6.87
j1201_1,100,0.75,112,4.8
j1201_1,100,RND,108,4.59
j1201_1,200,0.25,114,9.16
j1201_1,200,0.5,112,8.98
j1201_1,200,0.75,112,9.13
j1201_1,200,RND,113,9.1
j12038_4,100,0.25,166,6.95
j12038_4,100,0.5,167,6.83
j12038_4,100,0.75,161,6.86
j12038_4,100,RND,164,6.84
j12038_4,200,0.25,160,13.9
j12038_4,200,0.5,164,13.56
j12038_4,200,0.75,163,13.48
j12038_4,200,RND,162,14.34
j12034_6,100,0.25,120,6.31
j12034_6,100,0.5,117,5.74
j12034_6,100,0.75,120,5.88
j12034_6,100,RND,117,5.91
j12034_6,200,0.25,119,11.77
j12034_6,200,0.5,119,11.6
j12034_6,200,0.75,119,11.54
j12034_6,200,RND,119,11.61
j12033_7,100,0.25,140,5.88
j12033_7,100,0.5,136,6.01
j12033_7,100,0.75,134,6.11
j12033_7,100,RND,138,6.12
j12033_7,200,0.25,138,12.08
j12033_7,200,0.5,134,12.0
j12033_7,200,0.75,134,12.01
j12033_7,200,RND,136,12.02
j12021_4,100,0.25,142,6.85
j12021_4,100,0.5,142,6.87
j12021_4,100,0.75,141,6.71
j12021_4,100,RND,144,6.67
j12021_4,200,0.25,139,13.54
j12021_4,200,0.5,141,13.54
j12021_4,200,0.75,143,13.18
j12021_4,200,RND,137,13.6
j1204_4,100,0.25,80,4.05
j1204_4,100,0.5,80,4.28
j1204_4,100,0.75,80,4.04
j1204_4,100,RND,80,4.1
