projectName, makespan, duration;
j903_8,88,0.5562219619750977;
j9038_8,95,0.7973041534423828;
j9027_5,103,0.6735169887542725;
j9042_9,87,0.6470780372619629;
j9036_10,110,0.7401590347290039;
j9028_6,103,0.6221981048583984;
j9024_2,94,0.527411937713623;
j9015_9,84,0.5233709812164307;
j909_2,111,0.7434768676757812;
j906_1,84,0.47339797019958496;
j9032_2,79,0.5183641910552979;
j9013_7,98,0.6598751544952393;
j9048_3,87,0.6547360420227051;
j9044_7,94,0.7017309665679932;
j9031_5,81,0.5312790870666504;
j905_6,89,0.5381441116333008;
j9011_1,87,0.4925730228424072;
j9030_4,109,0.6743910312652588;
j904_7,81,0.4647250175476074;
j9045_6,141,1.2167580127716064;
j9046_1,109,0.7516663074493408;
j908_3,71,0.4817221164703369;
j9012_6,82,0.48266005516052246;
j9033_3,120,0.8915107250213623;
j9014_8,83,0.48026609420776367;
j9012_10,87,0.47516489028930664;
j9025_3,101,0.7847292423248291;
j9029_7,127,1.0300278663635254;
j9043_8,102,0.7452452182769775;
j9026_4,105,0.6280381679534912;
j904_10,69,0.4518599510192871;
j902_9,84,0.45993494987487793;
j9039_9,80,0.6668379306793213;
j9024_6,80,0.5800309181213379;
j9010_10,81,0.4745059013366699;
j9034_8,83,0.6325221061706543;
j9019_9,122,0.7101662158966064;
j906_10,101,0.5472722053527832;
j9028_2,78,0.6479980945587158;
j9027_1,98,0.5722448825836182;
j9044_3,112,0.7814657688140869;
j905_2,112,0.691540002822876;
j9031_1,82,0.6022098064422607;
j9010_4,95,0.5807898044586182;
j9032_6,87,0.5799560546875;
j9013_3,95,0.6801097393035889;
j906_5,74,0.46854710578918457;
j909_6,112,0.6734240055084229;
j9048_7,104,0.7342591285705566;
j9022_8,99,0.6720120906829834;
j9047_4,95,0.6471390724182129;
j9046_5,96,0.6669230461120605;
j9023_9,128,0.7755939960479736;
j9012_2,72,0.4913060665130615;
j9033_7,109,0.7542538642883301;
j908_7,78,0.46884894371032715;
j907_4,87,0.512871265411377;
j904_3,68,0.438093900680542;
j9011_5,83,0.5062940120697021;
j9045_2,113,1.0081400871276855;
j9034_10,102,0.6520061492919922;
j9029_3,123,0.88932204246521;
j9018_8,96,0.6103260517120361;
j9035_9,77,0.6410090923309326;
j9025_7,99,0.894970178604126;
j9024_7,88,0.5764930248260498;
j9048_10,95,0.665795087814331;
j9034_9,115,0.7547140121459961;
j9019_8,92,0.6278469562530518;
j9028_3,88,0.5495510101318359;
j9044_2,93,0.6181309223175049;
j905_3,80,0.5798799991607666;
j9010_5,79,0.5245120525360107;
j9032_7,88,0.5575549602508545;
j9013_2,100,0.6655533313751221;
j909_7,93,0.6203160285949707;
j906_4,86,0.5516259670257568;
j9047_5,95,0.6417720317840576;
j9022_9,106,0.6435294151306152;
j9030_10,95,0.5534369945526123;
j9048_6,116,0.70855712890625;
j902_10,82,0.4911308288574219;
j9023_8,93,0.6155641078948975;
j9046_4,100,0.7046301364898682;
j9012_3,94,0.4988830089569092;
j9033_6,92,0.7607622146606445;
j907_5,80,0.5080928802490234;
j908_6,71,0.48607420921325684;
j904_2,90,0.49399399757385254;
j9014_10,88,0.5054566860198975;
j9011_4,68,0.42777085304260254;
j9030_1,108,0.7515017986297607;
j9045_3,131,1.1533477306365967;
j9029_2,102,0.8516759872436523;
j9026_1,93,0.6172349452972412;
j9018_9,81,0.5947299003601074;
j9029_10,103,0.7795729637145996;
j9035_8,86,0.6425237655639648;
j9025_6,106,0.7960257530212402;
j903_9,62,0.4715409278869629;
j9038_9,97,0.7426412105560303;
j9028_7,98,0.5998620986938477;
j9042_8,108,0.7500960826873779;
j9027_4,80,0.5371530055999756;
j9024_3,70,0.5460977554321289;
j9015_8,84,0.49527692794799805;
j909_3,87,0.6182219982147217;
j9032_3,90,0.596494197845459;
j9013_6,104,0.6561999320983887;
j9048_2,90,0.6617598533630371;
j9047_1,84,0.6378710269927979;
j9044_6,97,0.65621018409729;
j9031_4,81,0.6408169269561768;
j9010_1,80,0.5073559284210205;
j905_7,103,0.6417326927185059;
j9016_10,72,0.4207491874694824;
j9030_5,87,0.604719877243042;
j904_6,79,0.48644375801086426;
j9045_7,110,1.0258140563964844;
j9032_10,92,0.5830638408660889;
j908_2,79,0.45143795013427734;
j907_1,89,0.4428081512451172;
j9012_7,78,0.5194971561431885;
j9033_2,116,0.9302442073822021;
j9014_9,113,0.5482971668243408;
j9025_2,119,0.7897353172302246;
j9026_5,89,0.5802569389343262;
j9043_9,90,0.7057318687438965;
j9029_6,92,0.8223428726196289;
j902_8,86,0.49740004539489746;
j9039_8,85,0.6744599342346191;
j9022_6,76,0.5742988586425781;
j9048_9,91,0.6169679164886475;
j909_8,97,0.6751930713653564;
j9032_8,80,0.5854442119598389;
j9021_1,100,0.7779409885406494;
j9042_3,97,0.7649710178375244;
j907_10,101,0.5300869941711426;
j903_2,85,0.5394430160522461;
j9037_1,107,0.8038299083709717;
j9016_4,70,0.43761301040649414;
j9019_7,74,0.5854580402374268;
j9038_2,81,0.5903422832489014;
j9034_6,91,0.6418380737304688;
j9015_3,84,0.4639298915863037;
j9011_10,82,0.44910621643066406;
j9041_4,116,1.1827068328857422;
j9024_8,89,0.6335937976837158;
j9025_9,100,0.770672082901001;
j9040_5,93,0.6918730735778809;
j9014_2,84,0.5150017738342285;
j9035_7,80,0.6501309871673584;
j901_4,86,0.45868396759033203;
j902_3,78,0.4503018856048584;
j9035_10,83,0.6384110450744629;
j9039_3,84,0.5969030857086182;
j9018_6,93,0.6104943752288818;
j9017_5,119,0.773097038269043;
j9043_2,95,0.6893649101257324;
j908_9,99,0.5216000080108643;
j9033_9,94,0.7213561534881592;
j9023_7,78,0.591041088104248;
j905_8,91,0.6047658920288086;
j9044_9,97,0.6566290855407715;
j9021_5,107,0.7623488903045654;
j9022_2,87,0.5861928462982178;
j9013_9,113,0.7238368988037109;
j9034_2,91,0.6238772869110107;
j9015_7,83,0.45108485221862793;
j9028_8,111,0.6427421569824219;
j9042_7,92,0.6215929985046387;
j9037_10,125,0.9447119235992432;
j9019_3,92,0.6586959362030029;
j9038_6,94,0.6979169845581055;
j9037_5,130,0.9966661930084229;
j903_6,69,0.4245929718017578;
j9017_1,92,0.6734139919281006;
j9036_4,80,0.605870246887207;
j9039_7,86,0.6124122142791748;
j9018_2,96,0.6310291290283203;
j905_10,92,0.5875191688537598;
j902_7,97,0.4941568374633789;
j9043_6,119,0.7147789001464844;
j9029_9,95,0.7918071746826172;
j9040_1,96,0.6844959259033203;
j9013_10,87,0.6415789127349854;
j9014_6,83,0.4686150550842285;
j9035_3,98,0.6916806697845459;
j9012_8,84,0.4783151149749756;
j9023_3,118,0.7249879837036133;
j9020_4,87,0.6156818866729736;
j9045_8,125,1.0637681484222412;
j904_9,80,0.4758880138397217;
j905_9,116,0.716602087020874;
j9021_4,103,0.7941477298736572;
j9044_8,100,0.6495938301086426;
j9017_10,93,0.6393909454345703;
j9022_3,85,0.5761423110961914;
j9013_8,81,0.6297039985656738;
j901_10,96,0.5638759136199951;
j9034_3,85,0.631371021270752;
j9015_6,62,0.43047308921813965;
j9041_1,120,1.0062310695648193;
j9042_6,91,0.70361328125;
j9028_9,121,0.7230300903320312;
j9037_4,116,1.037384033203125;
j9016_1,86,0.5429348945617676;
j9019_2,84,0.575437068939209;
j9038_7,86,0.6315526962280273;
j903_7,88,0.4850180149078369;
j9039_6,103,0.6774940490722656;
j9018_3,85,0.5902471542358398;
j9036_5,99,0.7073075771331787;
j902_6,70,0.5010879039764404;
j9029_8,115,0.9712672233581543;
j9043_7,91,0.64432692527771;
j901_1,80,0.49642014503479004;
j9014_7,87,0.5559978485107422;
j9035_2,93,0.6088724136352539;
j9033_10,124,0.7618429660797119;
j9012_9,78,0.4366438388824463;
j9023_2,85,0.5928378105163574;
j9045_9,119,1.076442003250122;
j9020_5,89,0.5874679088592529;
j904_8,70,0.4505629539489746;
j9048_8,75,0.629767894744873;
j9022_7,94,0.6140608787536621;
j909_9,93,0.688378095626831;
j9031_10,101,0.717073917388916;
j9032_9,96,0.616631031036377;
j9042_2,102,0.7450339794158936;
j903_3,75,0.41109609603881836;
j9019_6,138,0.8062610626220703;
j9038_3,96,0.6512610912322998;
j9016_5,72,0.45326995849609375;
j9034_7,95,0.6930332183837891;
j9015_2,72,0.43647193908691406;
j9024_9,81,0.5130250453948975;
j9041_5,109,0.9439029693603516;
j9040_4,109,0.7057580947875977;
j9025_8,117,0.9844889640808105;
j9014_3,96,0.4997131824493408;
j9035_6,73,0.5792801380157471;
j901_5,99,0.5752546787261963;
j902_2,122,0.6344320774078369;
j9017_4,98,0.6630222797393799;
j9036_1,98,0.7443852424621582;
j9039_2,120,0.6639001369476318;
j9018_7,77,0.5335121154785156;
j9043_3,104,0.7398571968078613;
j9028_10,69,0.5765650272369385;
j9015_10,85,0.4819068908691406;
j9020_1,86,0.5987939834594727;
j903_10,66,0.43222999572753906;
j908_8,69,0.4684779644012451;
j9033_8,113,0.7389392852783203;
j9023_6,88,0.5628070831298828;
j9019_10,86,0.6261401176452637;
j9021_7,102,0.6693098545074463;
j9031_9,74,0.5277721881866455;
j9041_2,140,1.11869215965271;
j9015_5,95,0.4641108512878418;
j903_4,105,0.5720469951629639;
j9037_7,119,0.8679630756378174;
j9016_2,72,0.441619873046875;
j9019_1,99,0.5930831432342529;
j9038_4,90,0.6152529716491699;
j9027_9,86,0.5992813110351562;
j9042_5,113,0.7876770496368408;
j9024_10,90,0.6248409748077393;
j9043_4,95,0.6912901401519775;
j9026_8,83,0.6170759201049805;
j902_5,109,0.5831701755523682;
j9039_5,88,0.6334841251373291;
j9017_3,104,0.6497669219970703;
j9036_6,100,0.6665949821472168;
j9045_10,120,1.1777400970458984;
j9014_4,93,0.497298002243042;
j9035_1,98,0.6666181087493896;
j901_2,101,0.6227009296417236;
j9040_3,78,0.5871059894561768;
j9023_1,91,0.6088850498199463;
j9030_8,87,0.5834908485412598;
j9020_6,84,0.5564959049224854;
j906_9,70,0.44327712059020996;
j9022_4,100,0.6590890884399414;
j9047_8,99,0.7044100761413574;
j9021_3,116,0.8453240394592285;
j9010_8,84,0.41317200660705566;
j9019_5,68,0.5069088935852051;
j9037_3,137,0.9978539943695068;
j9016_6,75,0.41142916679382324;
j9042_1,119,0.7679219245910645;
j9041_6,112,1.0197749137878418;
j9047_10,67,0.6201949119567871;
j9034_4,82,0.6297669410705566;
j9015_1,77,0.5012989044189453;
j901_6,71,0.4749941825866699;
j9035_5,105,0.6468548774719238;
j9040_7,88,0.6109671592712402;
j9026_10,94,0.7185237407684326;
j9017_7,87,0.6002638339996338;
j9036_2,115,0.8931400775909424;
j9039_1,108,0.8477001190185547;
j9018_4,101,0.7155330181121826;
j902_1,104,0.6731748580932617;
j9011_9,82,0.542694091796875;
j9020_2,77,0.6220691204071045;
j9046_9,87,0.8181262016296387;
j9023_5,96,0.5779709815979004;
j907_8,65,0.4620687961578369;
j906_8,73,0.45886898040771484;
j9022_10,81,0.5680801868438721;
j9047_9,88,0.6887838840484619;
j9022_5,102,0.6395578384399414;
j9021_2,111,0.8651549816131592;
j9010_9,93,0.5058403015136719;
j9037_2,110,0.9466760158538818;
j9016_7,66,0.4277839660644531;
j9019_4,79,0.5180449485778809;
j909_10,106,0.5868449211120605;
j9038_1,90,0.681128978729248;
j903_1,82,0.4842686653137207;
