projectName, makespan, duration;
j6014_5,60,0.1882929801940918;
j6040_2,82,0.28173065185546875;
j6026_9,71,0.2560610771179199;
j6043_5,68,0.26897525787353516;
j601_7,71,0.2864048480987549;
j6039_4,95,0.3316807746887207;
j6018_1,82,0.31432604789733887;
j6017_2,81,0.2782468795776367;
j6036_7,73,0.267179012298584;
j6030_9,104,0.33845090866088867;
j607_9,46,0.16569304466247559;
j6020_7,77,0.25150203704833984;
j6046_10,87,0.32146406173706055;
j6027_10,60,0.22320199012756348;
j6022_1,66,0.22394227981567383;
j6021_6,85,0.3528251647949219;
j6031_8,77,0.23711395263671875;
j606_8,82,0.25576305389404297;
j6037_6,88,0.4115867614746094;
j6016_3,54,0.20316696166992188;
j6038_5,109,0.37331700325012207;
j6042_4,104,0.4200131893157959;
j6027_8,94,0.28427910804748535;
j6041_3,80,0.39273500442504883;
j6034_1,76,0.2579319477081299;
j6015_4,76,0.19997286796569824;
j603_1,62,0.18647980690002441;
j6043_1,114,0.3946061134338379;
j6017_6,74,0.29651880264282227;
j6036_3,82,0.2973659038543701;
j6018_5,84,0.2627079486846924;
j601_3,75,0.24372100830078125;
j602_4,79,0.22147011756896973;
j6014_1,62,0.18135595321655273;
j6035_4,75,0.2713141441345215;
j6018_10,106,0.30509185791015625;
j6040_6,71,0.2892429828643799;
j6023_4,86,0.2603037357330322;
j6046_8,80,0.2957620620727539;
j6025_10,92,0.33608198165893555;
j6011_8,71,0.24204182624816895;
j6020_3,70,0.23278093338012695;
j6021_2,110,0.3997621536254883;
j6044_10,67,0.2848639488220215;
j6010_9,76,0.21862077713012695;
j6047_9,78,0.2817389965057373;
j6022_5,79,0.2575812339782715;
j6041_7,114,0.5359148979187012;
j603_5,88,0.23162078857421875;
j6034_5,82,0.2923860549926758;
j6019_4,68,0.25296998023986816;
j609_10,87,0.313892126083374;
j6038_1,80,0.29241013526916504;
j6037_2,91,0.38503193855285645;
j6016_7,84,0.20799612998962402;
j6039_1,83,0.29391002655029297;
j6018_4,72,0.23462176322937012;
j6017_7,95,0.2762932777404785;
j6036_2,76,0.27222514152526855;
j601_2,74,0.19875407218933105;
j602_5,54,0.1760098934173584;
j6035_5,84,0.25531888008117676;
j6040_7,69,0.24934005737304688;
j6040_10,75,0.25043296813964844;
j6038_10,68,0.2601499557495117;
j6046_9,70,0.2760581970214844;
j6023_5,76,0.249129056930542;
j6011_9,64,0.22266912460327148;
j6020_2,79,0.2486710548400879;
j6021_3,91,0.3575479984283447;
j6010_8,71,0.22603797912597656;
j6022_4,75,0.27486109733581543;
j6047_8,75,0.27634716033935547;
j6041_6,112,0.5067899227142334;
j603_4,86,0.23473191261291504;
j6034_4,84,0.29730987548828125;
j6015_1,86,0.2431321144104004;
j6037_3,135,0.5736148357391357;
j6016_6,68,0.2021181583404541;
j6019_5,75,0.23015284538269043;
j6021_10,68,0.3121621608734131;
j6042_1,86,0.294018030166626;
j6014_4,68,0.20584702491760254;
j6035_1,80,0.2598381042480469;
j602_1,69,0.2282121181488037;
j6040_3,71,0.2835216522216797;
j6043_4,79,0.2793877124786377;
j6026_8,94,0.31984901428222656;
j601_6,60,0.22156524658203125;
j6023_10,69,0.22504496574401855;
j6017_3,91,0.34409093856811523;
j6036_6,78,0.2996039390563965;
j6039_5,77,0.2871251106262207;
j6030_8,69,0.23997282981872559;
j607_8,67,0.20954322814941406;
j6020_6,98,0.33780694007873535;
j6023_1,76,0.24343323707580566;
j6021_7,97,0.4516022205352783;
j6031_9,88,0.27277684211730957;
j606_9,66,0.22594714164733887;
j6019_1,67,0.2309708595275879;
j6038_4,62,0.27309226989746094;
j6037_7,93,0.439316987991333;
j6016_2,65,0.1818387508392334;
j6027_9,79,0.251007080078125;
j6042_5,74,0.2971971035003662;
j6041_2,100,0.40085673332214355;
j6042_10,92,0.34275197982788086;
j6015_5,72,0.20020198822021484;
j6045_1,86,0.39018988609313965;
j6011_6,71,0.20043706893920898;
j6030_3,86,0.2962210178375244;
j607_3,64,0.20305800437927246;
j604_4,67,0.2061901092529297;
j6012_1,60,0.19246482849121094;
j6033_4,93,0.3120689392089844;
j6046_6,94,0.3455848693847656;
j6024_10,67,0.22243475914001465;
j6040_8,81,0.26112794876098633;
j6025_4,111,0.37578487396240234;
j6019_10,82,0.2539219856262207;
j6017_8,89,0.2995262145996094;
j6026_3,74,0.2839009761810303;
j6027_2,79,0.2484898567199707;
j6028_1,94,0.24222803115844727;
j608_10,100,0.2399001121520996;
j6016_9,55,0.1824800968170166;
j6024_5,79,0.2480630874633789;
j6041_9,106,0.5162820816040039;
j6047_7,72,0.2528820037841797;
j6048_4,64,0.23328280448913574;
j605_5,115,0.29494190216064453;
j6032_5,79,0.24025964736938477;
j6031_2,77,0.23727202415466309;
j6010_7,75,0.23011088371276855;
j6045_10,85,0.46509575843811035;
j609_1,66,0.30996108055114746;
j606_2,68,0.19857406616210938;
j6012_5,64,0.20606398582458496;
j6046_2,80,0.28952598571777344;
j6045_5,78,0.4091198444366455;
j6020_9,75,0.2193300724029541;
j608_4,65,0.18159008026123047;
j607_7,91,0.2566838264465332;
j6011_2,63,0.20331597328186035;
j6030_7,82,0.28882622718811035;
j6047_10,71,0.28418517112731934;
j6036_9,87,0.304229736328125;
j601_9,95,0.2496187686920166;
j6026_7,76,0.2625870704650879;
j6029_4,99,0.4822268486022949;
j6024_1,66,0.21322894096374512;
j6028_5,72,0.23631906509399414;
j6027_6,66,0.25045204162597656;
j6037_8,93,0.3983769416809082;
j606_6,60,0.2030651569366455;
j609_5,71,0.2718210220336914;
j6031_6,74,0.233839750289917;
j6010_3,76,0.21423983573913574;
j6021_8,103,0.3812131881713867;
j6044_4,78,0.28266191482543945;
j6026_10,89,0.2966427803039551;
j6047_3,72,0.2924489974975586;
j6032_1,70,0.23407411575317383;
j6013_4,82,0.29067492485046387;
j605_1,85,0.27759313583374023;
j6012_4,70,0.218764066696167;
j6033_1,112,0.3842628002166748;
j604_1,85,0.2091987133026123;
j6046_3,88,0.3292710781097412;
j6020_8,66,0.2310941219329834;
j6045_4,79,0.4373459815979004;
j607_6,67,0.20288515090942383;
j608_5,86,0.23335695266723633;
j6011_3,78,0.2229471206665039;
j6030_6,72,0.25459718704223633;
j6036_8,70,0.24688506126403809;
j601_8,77,0.21485114097595215;
j6022_10,73,0.2453291416168213;
j6029_5,93,0.406343936920166;
j6026_6,82,0.2692580223083496;
j6025_1,96,0.3784029483795166;
j6043_10,83,0.3146650791168213;
j6027_7,84,0.24311017990112305;
j6028_4,85,0.29433488845825195;
j6037_9,85,0.39473414421081543;
j609_4,83,0.29790592193603516;
j606_7,69,0.1978287696838379;
j6031_7,81,0.24688005447387695;
j6010_2,69,0.21037077903747559;
j6044_5,77,0.24515914916992188;
j6021_9,84,0.3574352264404297;
j6047_2,68,0.23978877067565918;
j6048_1,72,0.27958202362060547;
j6013_5,75,0.314877986907959;
j6011_7,71,0.21409893035888672;
j6030_2,73,0.23736882209777832;
j608_1,65,0.19439697265625;
j607_2,89,0.2624030113220215;
j604_5,76,0.22709298133850098;
j6039_10,75,0.2856261730194092;
j6033_5,103,0.38486599922180176;
j6046_7,78,0.31618213653564453;
j6025_5,84,0.35502195358276367;
j6040_9,91,0.30390095710754395;
j6041_10,93,0.4281008243560791;
j6017_9,78,0.2824370861053467;
j6026_2,67,0.2620820999145508;
j6029_1,78,0.34144091606140137;
j6027_3,79,0.26670217514038086;
j6020_10,71,0.22959494590759277;
j6016_8,69,0.20371723175048828;
j6041_8,122,0.5091860294342041;
j6024_4,79,0.2411637306213379;
j6048_5,102,0.345660924911499;
j6047_6,80,0.30330324172973633;
j605_4,65,0.23491716384887695;
j6032_4,57,0.21536684036254883;
j6013_1,90,0.3484840393066406;
j6031_3,69,0.23265576362609863;
j6010_6,73,0.21359515190124512;
j606_3,76,0.22588896751403809;
j6044_1,85,0.31003403663635254;
j604_2,61,0.195296049118042;
j6012_7,72,0.21780896186828613;
j6033_2,106,0.3943500518798828;
j6030_5,78,0.2517271041870117;
j607_5,72,0.20731425285339355;
j608_6,57,0.16523027420043945;
j6011_10,61,0.22968387603759766;
j6045_7,90,0.4652848243713379;
j6029_6,133,0.5400352478027344;
j6026_5,67,0.25839996337890625;
j6043_9,75,0.2873101234436035;
j6039_8,78,0.3153369426727295;
j6014_9,62,0.19526100158691406;
j6025_2,85,0.3513798713684082;
j6024_3,68,0.21111416816711426;
j6015_8,83,0.23388981819152832;
j6038_9,72,0.2724728584289551;
j6042_8,85,0.32546472549438477;
j6027_4,61,0.20912909507751465;
j6028_7,76,0.2532029151916504;
j6044_6,82,0.3098931312561035;
j6031_4,69,0.2358260154724121;
j6010_1,92,0.2762942314147949;
j609_7,93,0.3097221851348877;
j606_4,69,0.20514297485351562;
j605_3,75,0.25575804710388184;
j6035_10,74,0.2557377815246582;
j6032_3,86,0.2571718692779541;
j6013_6,73,0.28615307807922363;
j6047_1,79,0.2725050449371338;
j6048_2,88,0.325761079788208;
j608_2,62,0.19162225723266602;
j607_1,78,0.22196412086486816;
j6011_4,70,0.20098114013671875;
j6030_1,78,0.26569414138793945;
j6045_3,118,0.5533897876739502;
j602_10,70,0.1901099681854248;
j6023_8,73,0.2370622158050537;
j6046_4,74,0.26340293884277344;
j6037_10,104,0.41417384147644043;
j6012_3,76,0.21824979782104492;
j6033_6,74,0.3234381675720215;
j604_6,72,0.22537612915039062;
j602_8,68,0.20855116844177246;
j6035_8,86,0.2890639305114746;
j6025_6,90,0.3698079586029053;
j6026_1,84,0.29527711868286133;
j6029_2,106,0.41633081436157227;
j6018_9,71,0.25151586532592773;
j6019_8,89,0.28061580657958984;
j6028_3,73,0.22638726234436035;
j6024_7,69,0.21666622161865234;
j603_9,65,0.21227407455444336;
j6034_9,78,0.28044605255126953;
j6032_7,78,0.23136305809020996;
j6013_2,91,0.32068300247192383;
j605_7,76,0.23518896102905273;
j6048_6,67,0.24365520477294922;
j6047_5,95,0.3209269046783447;
j6022_9,71,0.2373979091644287;
j6044_2,69,0.2617170810699463;
j6013_10,86,0.3549838066101074;
j609_3,81,0.3130052089691162;
j6010_5,83,0.23128819465637207;
j608_3,80,0.20572996139526367;
j6011_5,69,0.20399904251098633;
j6045_2,107,0.5287868976593018;
j6046_5,91,0.3142881393432617;
j6023_9,65,0.21451210975646973;
j6012_2,59,0.20148515701293945;
j6033_7,81,0.303142786026001;
j604_7,68,0.21165800094604492;
j602_9,70,0.21631479263305664;
j6035_9,81,0.2887399196624756;
j6025_7,76,0.3236410617828369;
j6017_10,79,0.25645899772644043;
j6029_3,98,0.3903071880340576;
j6018_8,85,0.26016902923583984;
j6033_10,86,0.3500330448150635;
j6019_9,69,0.22869110107421875;
j606_10,78,0.24686789512634277;
j6027_1,105,0.30448222160339355;
j6028_2,65,0.24012088775634766;
j6024_6,76,0.25398993492126465;
j603_8,57,0.17180109024047852;
j6034_8,64,0.28777408599853516;
j6032_6,94,0.28874802589416504;
j6013_3,72,0.25907015800476074;
j605_6,72,0.26610827445983887;
j6022_8,61,0.23462700843811035;
j6047_4,77,0.2594020366668701;
j6048_7,78,0.2644951343536377;
j6044_3,88,0.31798386573791504;
j609_2,86,0.2636408805847168;
j606_1,67,0.2138509750366211;
j6031_1,67,0.2563338279724121;
j6010_4,83,0.23699307441711426;
j6046_1,83,0.32881999015808105;
j604_3,59,0.23335599899291992;
j6012_6,55,0.17062973976135254;
j6033_3,89,0.2928330898284912;
j6011_1,73,0.22530007362365723;
j6030_4,79,0.2664659023284912;
j608_7,63,0.2098407745361328;
j607_4,67,0.19066405296325684;
j6045_6,117,0.5322568416595459;
j6043_8,75,0.25451207160949707;
j6026_4,67,0.24579119682312012;
j6029_7,95,0.3933539390563965;
j604_10,80,0.22939705848693848;
j6031_10,61,0.22632598876953125;
j6039_9,75,0.2632331848144531;
j6014_8,94,0.23330307006835938;
j6025_3,114,0.4179689884185791;
j6015_10,65,0.20418000221252441;
j6024_2,56,0.2116868495941162;
j6015_9,74,0.2046031951904297;
j6038_8,76,0.2916758060455322;
j6028_6,90,0.27826523780822754;
j6027_5,83,0.2568018436431885;
j6042_9,77,0.2813248634338379;
j6044_7,77,0.2764251232147217;
j6031_5,73,0.26500797271728516;
j606_5,80,0.21692585945129395;
j609_6,111,0.32871294021606445;
j605_2,94,0.32473278045654297;
j6032_2,115,0.31593799591064453;
j6013_7,71,0.2678709030151367;
j6028_10,75,0.23584508895874023;
j6048_3,85,0.2823472023010254;
j601_1,80,0.24104595184326172;
j6039_2,85,0.2832767963409424;
j6018_7,94,0.3008241653442383;
j6017_4,76,0.2677738666534424;
j6036_1,62,0.2282121181488037;
j6043_3,75,0.26572108268737793;
j6040_4,88,0.2872803211212158;
j6025_8,83,0.3983938694000244;
j6014_3,65,0.2150430679321289;
j6035_6,80,0.29210686683654785;
j602_6,65,0.22466516494750977;
j603_10,73,0.20789098739624023;
j604_8,66,0.2228689193725586;
j6033_8,82,0.2985498905181885;
j6036_10,78,0.28162097930908203;
j6023_6,86,0.26234984397888184;
j6020_1,61,0.20078206062316895;
j6012_10,80,0.21420812606811523;
j6022_7,72,0.23993420600891113;
j6048_8,91,0.30248212814331055;
j605_9,92,0.2723970413208008;
j6032_9,76,0.2178349494934082;
j6034_7,86,0.3081839084625244;
j6015_2,90,0.2393510341644287;
j603_7,60,0.1989881992340088;
j6024_9,82,0.24754810333251953;
j6041_5,90,0.44887232780456543;
j6042_2,69,0.2774031162261963;
j6016_5,68,0.2261209487915039;
j6019_6,71,0.20740628242492676;
j6038_3,91,0.3053858280181885;
j602_2,85,0.23702502250671387;
j6014_7,77,0.22406888008117676;
j6035_2,81,0.29306888580322266;
j6036_5,58,0.23610377311706543;
j6039_6,88,0.3221919536590576;
j6018_3,82,0.2705399990081787;
j601_5,75,0.2327408790588379;
j6043_7,94,0.3007340431213379;
j6029_8,79,0.3343071937561035;
j6045_9,90,0.48240208625793457;
j6020_5,72,0.24560117721557617;
j6010_10,77,0.22952008247375488;
j608_8,69,0.2304692268371582;
j6012_9,61,0.183211088180542;
j6023_2,72,0.227370023727417;
j6034_10,101,0.34659385681152344;
j6022_3,77,0.24542593955993652;
j6013_8,93,0.3237340450286865;
j601_10,89,0.2418220043182373;
j609_9,98,0.3349146842956543;
j6021_4,80,0.3018531799316406;
j6044_8,84,0.3041231632232666;
j6028_9,75,0.2336750030517578;
j6042_6,87,0.33272600173950195;
j6019_2,84,0.2712059020996094;
j6038_7,79,0.29383206367492676;
j6037_4,92,0.4638080596923828;
j6016_1,66,0.19161009788513184;
j603_3,104,0.26259589195251465;
j6034_3,66,0.2718338966369629;
j6015_6,79,0.2261350154876709;
j6041_1,110,0.45780301094055176;
j6040_1,87,0.2642970085144043;
j602_3,81,0.2937161922454834;
j6014_6,69,0.2133159637451172;
j6035_3,89,0.29287290573120117;
j6039_7,71,0.27210307121276855;
j6018_2,71,0.2518739700317383;
j6017_1,90,0.29727625846862793;
j6036_4,86,0.275054931640625;
j605_10,87,0.2634439468383789;
j601_4,86,0.2740969657897949;
j6030_10,87,0.3020617961883545;
j6029_9,93,0.4252018928527832;
j6043_6,85,0.30328822135925293;
j6020_4,87,0.29779601097106934;
j6045_8,100,0.4847080707550049;
j6048_10,71,0.2807297706604004;
j608_9,59,0.20949196815490723;
j6012_8,61,0.18072080612182617;
j6023_3,78,0.26103997230529785;
j6022_2,96,0.298475980758667;
j6029_10,85,0.3956148624420166;
j6013_9,87,0.3133871555328369;
j609_8,83,0.31349706649780273;
j6044_9,66,0.25835394859313965;
j6021_5,85,0.3183560371398926;
j6042_7,59,0.24751615524291992;
j6028_8,63,0.20016789436340332;
j6037_5,88,0.4281637668609619;
j6019_3,85,0.26881909370422363;
j6038_6,89,0.30294203758239746;
j6014_10,72,0.21646904945373535;
j603_2,70,0.20549511909484863;
j6034_2,71,0.2639799118041992;
j6015_7,66,0.17885875701904297;
j6017_5,68,0.2319779396057129;
j6039_3,87,0.3211081027984619;
j6018_6,63,0.23307323455810547;
j6043_2,90,0.30253005027770996;
j6025_9,89,0.3569309711456299;
j6040_5,85,0.2923882007598877;
j6014_2,68,0.2019948959350586;
j6035_7,76,0.24593305587768555;
j6016_10,69,0.19140625;
j602_7,51,0.18430685997009277;
j604_9,76,0.24265694618225098;
j6033_9,121,0.4897599220275879;
j6023_7,64,0.22475385665893555;
j6021_1,105,0.3547062873840332;
j6048_9,84,0.3353269100189209;
j6022_6,82,0.2611410617828369;
j605_8,81,0.26681017875671387;
j6032_8,77,0.26957201957702637;
j6034_6,84,0.31416916847229004;
j6015_3,73,0.1948380470275879;
j603_6,60,0.1941840648651123;
j6041_4,138,0.5379509925842285;
j6024_8,82,0.21316981315612793;
j6032_10,78,0.23220300674438477;
j6042_3,83,0.3011651039123535;
j607_10,84,0.23203611373901367;
j6019_7,61,0.21364784240722656;
j6038_2,78,0.3071260452270508;
j6037_1,88,0.37958407402038574;
j6016_4,61,0.17833924293518066;
